2nd Column,6th Column,8th Column
123,"2,849",2020-06-15
116,"2,000",2020-06-16
112,"3,000",2020-06-17
115,"128,204",2020-06-18
116,"89,159",2020-06-19
114,"5,000",2020-06-22
114,20,2020-06-23
113,593,2020-06-26
112,"10,109",2020-06-29
112,"369,600",2020-06-30
110,"7,000",2020-07-01
113,"80,400",2020-07-06
114,"80,165",2020-07-07
113,"2,900",2020-07-09
113,61,2020-07-16
113,"1,108",2020-07-17
110,40,2020-07-20
110,"1,000",2020-07-21
102,"1,000",2020-07-22
109,100,2020-07-23
109,14,2020-07-24
108,"421,780",2020-07-29
109,"7,536",2020-08-03
109,"18,644",2020-08-04
113,"45,158",2020-08-05
113,"25,400",2020-08-07
115,"4,431",2020-08-10
125,"5,843",2020-08-11
119,"241,234",2020-08-12
119,"5,690",2020-08-13
120,1,2020-08-14
120,"31,128",2020-08-17
119,1,2020-08-18
115,"10,869",2020-08-19
115,937,2020-08-21
115,"9,533",2020-08-24
114,112,2020-08-25
110,"8,849",2020-08-26
114,"9,000",2020-08-27
113,1,2020-08-31
115,"29,493",2020-09-01
117,"28,242",2020-09-02
115,"46,499",2020-09-03
116,"22,000",2020-09-04
113,"1,768",2020-09-08
116,623,2020-09-10
116,"59,782",2020-09-11
116,"24,204",2020-09-15
115,"10,005",2020-09-16
116,"25,050",2020-09-17
116,"15,050",2020-09-18
116,"20,000",2020-09-21
121,"78,180",2020-09-23
116,"10,000",2020-09-24
116,"23,849",2020-09-28
112,"29,736",2020-09-29
110,"53,096",2020-09-30
113,"25,005",2020-10-01
113,"24,702",2020-10-02
114,"29,057",2020-10-05
113,"19,883",2020-10-06
113,"16,000",2020-10-07
108,"1,000",2020-10-08
113,"19,115",2020-10-09
113,70,2020-10-12
112,10,2020-10-13
114,"37,757",2020-10-14
114,"15,100",2020-10-19
113,"5,772,212",2020-10-20
111,"30,875",2020-10-22
113,"24,849",2020-10-23
113,"14,777",2020-10-26
113,"50,000",2020-10-28
113,10,2020-10-29
128,"190,889",2020-10-30
131,"12,662",2020-11-02
150,"3,160",2020-11-03
158,"2,874",2020-11-04
141,609,2020-11-05
137,"1,500",2020-11-06
134,475,2020-11-09
122,"2,500",2020-11-10
133,"7,950",2020-11-11
134,100,2020-11-12
134,200,2020-11-17
130,100,2020-11-18
130,280,2020-11-19
134,624,2020-11-20
132,710,2020-11-23
134,"1,200",2020-11-24
133,900,2020-11-25
132,100,2020-11-27
132,10,2020-11-30
132,210,2020-12-01
132,"1,100",2020-12-03
130,124,2020-12-04
129,130,2020-12-08
129,639,2020-12-09
130,"2,850",2020-12-11
121,"8,490",2020-12-14
131,"1,647",2020-12-15
130,"2,004",2020-12-16
131,"1,176",2020-12-17
130,80,2020-12-18
130,7,2020-12-21
131,"14,413",2020-12-22
131,1,2020-12-23
131,"63,445",2020-12-24
131,"7,504",2020-12-25
130,"656,743",2020-12-28
120,"19,800,000",2020-12-28
130,"162,220",2020-12-30
130,"123,803",2020-12-31
128,415,2021-01-06
130,"86,054",2021-01-07
128,550,2021-01-08
130,"5,068",2021-01-11
122,"11,500,000",2021-01-11
130,11,2021-01-12
130,"51,100",2021-01-13
125,"37,367",2021-01-14
126,"35,915",2021-01-15
126,"71,400",2021-01-18
130,"1,500",2021-01-19
123,"8,300,000",2021-01-20
130,"39,772",2021-01-21
126,"16,229",2021-01-22
125,"17,603",2021-01-25
128,"1,500",2021-01-26
128,"41,438",2021-01-28
123,"72,803",2021-01-29
124,"88,710",2021-02-01
126,"91,300",2021-02-03
125,"80,000",2021-02-08
127,"33,820",2021-02-09
129,"5,355",2021-02-10
129,"127,150",2021-02-11
125,"5,115",2021-02-15
129,"9,261",2021-02-16
130,"683,906",2021-02-17
140,"81,278",2021-02-18
140,"12,888",2021-02-19
140,"20,289",2021-02-22
135,"7,511",2021-02-23
132,"69,111",2021-02-24
130,"13,240",2021-02-25
132,"8,331",2021-02-26
130,"7,587",2021-03-01
130,251,2021-03-02
130,"1,223",2021-03-03
130,"51,314",2021-03-04
131,"9,327",2021-03-05
132,"1,393",2021-03-09
133,"6,585",2021-03-10
133,"7,393",2021-03-11
130,"1,642",2021-03-12
131,"2,808",2021-03-15
134,"12,171",2021-03-16
129,"13,181",2021-03-17
129,"23,285",2021-03-18
132,"18,197",2021-03-19
132,"1,484",2021-03-22
132,"8,507",2021-03-23
132,502,2021-03-24
132,"1,564",2021-03-25
132,408,2021-03-26
132,"8,143",2021-03-29
132,"4,596",2021-03-30
132,"5,115",2021-03-31
126,"11,642",2021-04-01
126,200,2021-04-02
126,"25,668",2021-04-05
125,"27,066",2021-04-06
130,710,2021-04-12
130,133,2021-04-13
130,50,2021-04-14
130,"3,540",2021-04-15
128,"3,045",2021-04-16
128,420,2021-04-19
126,"9,734",2021-04-20
129,"19,983",2021-04-21
129,"3,376",2021-04-22
126,"1,756",2021-04-23
128,"12,208",2021-04-26
125,650,2021-04-27
125,114,2021-04-28
125,"9,190",2021-04-29
125,720,2021-04-30
125,"3,062",2021-05-03
125,"8,721",2021-05-04
125,"11,822",2021-05-05
128,"1,024",2021-05-06
128,"10,903",2021-05-07
123,70,2021-05-10
125,"187,180",2021-05-11
125,"14,000",2021-05-13
125,"4,520",2021-05-14
125,"40,800",2021-05-17
123,500,2021-05-18
128,302,2021-05-19
130,"316,735",2021-05-20
130,"301,878",2021-05-21
128,568,2021-05-24
126,"1,929",2021-05-27
117,333,2021-05-28
122,"28,156",2021-05-31
126,"8,478",2021-06-02
124,"21,832",2021-06-03
121,"10,243",2021-06-04
125,"2,556",2021-06-07
121,"2,565",2021-06-08
119,"11,048",2021-06-10
119,"20,001",2021-06-11
120,"18,933",2021-06-14
125,"1,175",2021-06-15
122,"249,591",2021-06-17
120,50,2021-06-21
120,"1,128",2021-06-22
121,"11,812",2021-06-23
122,"7,060",2021-06-28
122,"31,192",2021-06-29
122,"3,078",2021-06-30
122,"15,878",2021-07-01
124,"2,100",2021-07-05
118,"1,032",2021-07-06
125,"11,650",2021-07-07
125,"2,911",2021-07-09
125,25,2021-07-19
124,"1,000",2021-07-20
123,900,2021-07-21
125,"9,524",2021-07-22
124,500,2021-07-23
125,200,2021-07-24
117,"3,200",2021-07-26
120,"102,000",2021-07-28
120,"29,209",2021-07-30
118,1,2021-08-02
120,"24,210",2021-08-03
125,9,2021-08-04
120,"2,000",2021-08-05
125,"3,656",2021-08-06
125,"26,770",2021-08-09
118,"25,852",2021-08-10
130,"123,022",2021-08-11
135,"3,525",2021-08-12
130,"256,149",2021-08-13
133,"2,602",2021-08-16
133,254,2021-08-17
128,40,2021-08-18
128,"172,830",2021-08-19
125,"11,720",2021-08-20
128,"163,991",2021-08-23
125,"33,275",2021-08-24
122,"1,500",2021-08-25
128,"10,200",2021-08-26
120,"303,795",2021-08-27
125,"3,127",2021-08-30
126,"310,480",2021-08-31
126,"114,363",2021-09-01
128,"270,779",2021-09-02
128,"96,398",2021-09-03
127,"1,722",2021-09-06
125,"6,000,000",2021-09-06
127,"63,563",2021-09-07
128,"16,891",2021-09-08
146,"70,255",2021-09-09
158,"166,713",2021-09-10
160,"118,550",2021-09-13
155,"80,062",2021-09-14
154,"19,710",2021-09-15
157,"41,981",2021-09-16
156,"29,900",2021-09-17
156,"36,052",2021-09-20
155,"10,029",2021-09-21
155,"12,152",2021-09-22
155,"11,679",2021-09-23
155,"11,862",2021-09-24
155,"15,845",2021-09-27
155,"8,373",2021-09-28
155,"10,173",2021-09-29
154,"4,632",2021-09-30
150,"3,421",2021-10-01
154,"11,195",2021-10-04
154,"8,381",2021-10-05
152,"5,965",2021-10-06
151,"11,889",2021-10-07
149,"4,879",2021-10-08
151,"4,287",2021-10-11
149,"7,306",2021-10-12
151,"8,755",2021-10-13
151,"2,569",2021-10-14
150,"3,305",2021-10-15
146,"2,707",2021-10-18
140,46,2021-10-19
146,"16,436",2021-10-20
146,963,2021-10-21
144,"3,778",2021-10-22
144,"12,075",2021-10-25
142,"6,080",2021-10-26
143,"5,660",2021-10-27
146,"117,059",2021-10-28
150,"4,455",2021-10-29
150,"7,813",2021-11-01
151,"18,713",2021-11-02
152,"8,251",2021-11-03
150,"9,126",2021-11-04
150,"20,863",2021-11-08
150,"5,520",2021-11-09
148,"4,422",2021-11-10
145,"16,121",2021-11-11
140,"3,074",2021-11-12
145,"14,468",2021-11-15
141,"16,031",2021-11-16
145,"21,505",2021-11-17
145,"2,768",2021-11-18
160,"67,863",2021-11-19
160,"7,884",2021-11-22
159,"3,020",2021-11-23
159,"2,090",2021-11-24
159,"2,235",2021-11-29
150,"119,355",2021-11-30
145,230,2021-12-01
144,"9,009",2021-12-02
145,"22,236",2021-12-03
143,"2,663",2021-12-06
145,"13,944",2021-12-07
150,"6,666,667",2021-12-07
156,"17,477",2021-12-08
154,"1,134",2021-12-09
155,"1,176",2021-12-10
155,"3,188",2021-12-13
154,"14,212",2021-12-14
154,"3,500",2021-12-15
152,854,2021-12-16
155,"12,810",2021-12-17
154,"3,250",2021-12-20
153,"8,941",2021-12-21
150,"13,138",2021-12-22
153,701,2021-12-23
153,"3,858",2021-12-24
152,"7,293",2021-12-27
150,"1,829",2021-12-28
155,"25,470",2021-12-30
155,"4,212",2021-12-31
155,316,2022-01-03
155,"6,627",2022-01-04
151,"2,819",2022-01-05
154,"2,485",2022-01-06
150,"12,900",2022-01-07
154,"12,000",2022-01-10
154,505,2022-01-11
154,"10,938",2022-01-12
153,631,2022-01-13
149,"2,917",2022-01-14
148,"13,322",2022-01-17
144,409,2022-01-19
148,345,2022-01-20
149,"1,900",2022-01-21
150,"3,723",2022-01-24
150,"6,670",2022-01-25
150,"1,470",2022-01-26
150,"1,330",2022-01-27
149,50,2022-01-28
149,"62,128",2022-01-31
149,67,2022-02-01
148,10,2022-02-07
146,37,2022-02-09
146,"1,900",2022-02-10
148,"11,367",2022-02-11
145,"3,043",2022-02-14
140,"1,000",2022-02-15
145,15,2022-02-16
143,"18,780",2022-02-18
140,969,2022-02-21
145,719,2022-02-22
144,250,2022-02-23
142,"3,000",2022-02-24
140,"1,393",2022-02-25
140,"2,846",2022-02-28
139,"4,216",2022-03-01
139,"2,613",2022-03-02
137,"4,466",2022-03-03
135,450,2022-03-04
135,45,2022-03-07
134,52,2022-03-09
123,804,2022-03-10
128,586,2022-03-11
126,"6,015",2022-03-14
138,"68,454",2022-03-16
122,200,2022-03-18
135,90,2022-03-21
135,152,2022-03-22
130,100,2022-03-23
135,255,2022-03-24
134,"46,177",2022-03-25
130,"6,369",2022-03-28
135,"13,208",2022-03-29
138,"7,437",2022-03-30
145,510,2022-04-01
145,661,2022-04-04
133,"11,178",2022-04-06
143,"1,048",2022-04-07
135,"2,391,592",2022-04-11
126,330,2022-04-12
126,9,2022-04-13
130,464,2022-04-14
130,730,2022-04-15
130,470,2022-04-18
135,60,2022-04-20
134,"2,900",2022-04-21
134,2,2022-04-22
134,"6,227",2022-04-25
162,"1,540,396",2022-04-25
140,"23,387",2022-04-26
135,100,2022-04-27
130,5,2022-04-28
135,"3,463",2022-04-29
134,"1,250",2022-05-02
135,"1,768",2022-05-03
135,"1,632",2022-05-04
135,"4,000",2022-05-05
134,180,2022-05-06
134,100,2022-05-09
134,"5,035",2022-05-10
131,"36,299",2022-05-11
130,700,2022-05-12
130,"21,667",2022-05-13
131,107,2022-05-17
130,3,2022-05-18
130,30,2022-05-19
128,"3,075",2022-05-20
134,"6,030",2022-05-16
131,986,2022-05-23
134,"1,087",2022-05-24
131,"5,656",2022-05-25
134,"2,480",2022-05-27
121,"1,590",2022-05-30
134,"1,630",2022-05-31
134,700,2022-06-02
134,"2,258",2022-06-03
133,93,2022-06-06
130,1,2022-06-07
130,257,2022-06-08
130,20,2022-06-09
130,300,2022-06-10
130,329,2022-06-13
167,"5,126,271",2022-06-13
125,"1,000",2022-06-15
130,6,2022-06-16
130,"4,199",2022-06-17
133,462,2022-06-20
132,100,2022-06-21
134,"1,011",2022-06-24
134,5,2022-06-27
134,750,2022-06-28
135,"1,200",2022-06-30
135,65,2022-07-01
134,"6,890",2022-07-06
130,"20,900",2022-07-07
130,"23,381",2022-07-08
140,550,2022-07-18
138,100,2022-07-19
138,122,2022-07-20
130,"94,554",2022-07-21
132,"1,000",2022-07-22
130,"58,000",2022-07-25
135,100,2022-07-26
135,69,2022-07-27
125,620,2022-07-28
122,793,2022-08-01
134,118,2022-08-03
130,253,2022-08-08
130,"9,102",2022-08-09
129,10,2022-08-10
129,203,2022-08-11
130,"2,740",2022-08-12
134,"1,043",2022-08-15
132,75,2022-08-16
131,150,2022-08-17
129,"1,110",2022-08-18
131,"3,020",2022-08-19
130,"7,131",2022-08-22
130,"30,900",2022-08-24
130,144,2022-08-29
129,"9,000",2022-08-30
132,61,2022-08-31
126,"4,061",2022-09-01
125,230,2022-09-06
125,"2,400",2022-09-07
135,"1,938",2022-09-09
134,604,2022-09-12
133,26,2022-09-13
134,"39,550",2022-09-14
133,"3,583",2022-09-15
134,"1,703",2022-09-16
134,275,2022-09-19
135,"3,003",2022-09-20
134,47,2022-09-21
127,721,2022-09-22
126,560,2022-09-23
127,"11,372",2022-09-26
125,"2,000",2022-09-27
129,"781,494",2022-09-28
129,788,2022-09-30
128,2,2022-10-06
128,100,2022-10-07
129,200,2022-10-10
130,"6,002",2022-10-11
127,"1,741",2022-10-12
126,"3,606",2022-10-13
126,"9,393",2022-10-14
130,"10,674",2022-10-17
132,57,2022-10-18
126,500,2022-10-20
123,"14,000",2022-10-21
129,"1,162,791",2022-10-24
125,"12,409",2022-10-25
125,"8,054",2022-10-26
120,270,2022-10-27
128,100,2022-10-28
122,406,2022-10-31
132,"14,659",2022-11-01
132,"40,250",2022-11-03
132,21,2022-11-04
131,109,2022-11-07
131,373,2022-11-09
131,505,2022-11-10
131,222,2022-11-11
131,"2,961",2022-11-14
132,"10,253",2022-11-16
128,10,2022-11-17
130,323,2022-11-22
130,70,2022-11-23
129,"1,710",2022-11-25
130,740,2022-11-29
125,"3,000",2022-11-30
129,356,2022-12-01
130,50,2022-12-02
130,300,2022-12-05
129,1,2022-12-06
128,500,2022-12-07
127,25,2022-12-08
125,"3,000",2022-12-12
121,"1,013",2022-12-13
130,40,2022-12-14
130,868,2022-12-15
130,39,2022-12-16
130,"1,534",2022-12-19
124,"13,110",2022-12-21
125,"2,139",2022-12-22
125,"1,200",2022-12-26
120,"3,000",2022-12-27
120,52,2022-12-28
133,"5,644",2022-12-30
131,261,2023-01-02
125,113,2023-01-04
125,"2,829",2023-01-05
125,"1,104",2023-01-06
125,"7,783",2023-01-09
123,"1,635",2023-01-10
123,101,2023-01-11
123,729,2023-01-12
122,380,2023-01-13
122,"1,565",2023-01-16
122,261,2023-01-17
122,"9,903",2023-01-19
122,"5,526",2023-01-20
120,400,2023-01-23
121,"1,000",2023-01-24
122,185,2023-01-26
130,51,2023-01-27
127,60,2023-01-31
127,200,2023-02-01
120,"9,632",2023-02-02
131,"18,325",2023-02-03
131,182,2023-02-06
130,"49,637",2023-02-07
133,"1,205",2023-02-08
122,500,2023-02-09
130,12,2023-02-13
125,"34,082",2023-02-15
128,"6,536",2023-02-16
128,113,2023-02-17
128,8,2023-02-20
128,190,2023-02-24
127,"3,405",2023-02-27
126,250,2023-02-28
127,7,2023-03-01
126,235,2023-03-02
127,"9,578",2023-03-07
122,18,2023-03-09
122,"1,790",2023-03-10
121,"7,100",2023-03-14
121,"9,710",2023-03-15
125,"2,775",2023-03-16
117,"10,890",2023-03-20
115,100,2023-03-21
124,90,2023-03-22
