2nd Column,6th Column,8th Column
679,"98,934",2022-10-11
780,"249,819",2022-10-12
892,"92,032",2022-10-13
"1,025","189,148",2022-10-14
"1,178","351,739",2022-10-17
999,"97,400",2022-10-18
839,"68,797",2022-10-19
741,"120,843",2022-10-20
750,"28,909",2022-10-21
744,"18,312",2022-10-24
742,"22,513",2022-10-25
720,"20,086",2022-10-26
718,"19,520",2022-10-27
717,"14,442",2022-10-28
710,"25,398",2022-10-31
709,"7,559",2022-11-01
708,"29,551",2022-11-02
706,"15,158",2022-11-03
708,"10,737",2022-11-04
707,"11,543",2022-11-07
707,"14,662",2022-11-08
704,"6,963",2022-11-09
707,"45,154",2022-11-10
704,"20,979",2022-11-11
700,"13,844",2022-11-14
699,"5,478",2022-11-15
698,"11,322",2022-11-16
660,"34,873",2022-11-17
612,"10,178",2022-11-18
612,"20,408",2022-11-21
611,"8,036",2022-11-22
612,"17,706",2022-11-23
600,"32,064",2022-11-25
596,"19,936",2022-11-28
596,"5,029",2022-11-29
609,"28,163",2022-11-30
609,"6,424",2022-12-01
609,547,2022-12-02
609,"5,404",2022-12-05
608,"3,014",2022-12-06
606,"8,314",2022-12-07
606,"10,989",2022-12-08
693,"51,072",2022-12-09
691,"18,161",2022-12-12
645,"11,102",2022-12-13
630,"7,372",2022-12-14
630,"11,779",2022-12-15
628,"3,171",2022-12-16
627,"9,007",2022-12-19
608,"3,023",2022-12-20
609,"7,593",2022-12-21
609,"8,092",2022-12-22
610,"5,491",2022-12-23
610,"13,521",2022-12-26
624,"32,834",2022-12-27
620,"30,379",2022-12-28
670,"87,969",2022-12-30
630,"4,650",2023-01-02
625,"4,665",2023-01-03
624,"2,314",2023-01-04
623,"3,358",2023-01-05
624,"2,702",2023-01-06
623,"5,217",2023-01-09
630,"3,987",2023-01-10
644,"10,939",2023-01-11
635,"4,074",2023-01-12
650,"13,141",2023-01-13
649,"3,811",2023-01-16
650,"15,724",2023-01-17
642,"14,400",2023-01-18
650,"12,933",2023-01-19
650,"1,855",2023-01-20
630,"19,923",2023-01-23
630,"25,552",2023-01-24
640,"15,100",2023-01-25
643,"11,650",2023-01-26
650,"7,251",2023-01-27
647,"4,614",2023-01-30
640,"3,390",2023-01-31
644,"3,844",2023-02-01
645,"10,228",2023-02-02
645,"17,184",2023-02-03
645,"8,208",2023-02-06
645,"12,763",2023-02-07
638,"5,847",2023-02-08
629,"3,044",2023-02-09
627,"6,802",2023-02-10
627,"6,013",2023-02-13
624,"8,838",2023-02-14
624,"2,202",2023-02-15
623,"7,424",2023-02-16
630,"29,795",2023-02-17
644,"29,106",2023-02-20
720,"50,070",2023-02-24
690,"25,376",2023-02-27
688,"21,082",2023-02-28
688,"17,834",2023-03-01
688,"16,448",2023-03-02
687,"26,603",2023-03-03
687,"13,397",2023-03-06
684,"22,061",2023-03-07
683,"1,489",2023-03-09
683,"13,192",2023-03-10
683,"17,374",2023-03-13
683,"12,339",2023-03-14
681,"3,444",2023-03-15
671,"7,096",2023-03-16
670,"3,237",2023-03-17
683,"23,980",2023-03-20
680,"8,092",2023-03-21
680,"13,694",2023-03-22
665,"1,348",2023-03-23
680,"11,636",2023-03-24
680,"4,447",2023-03-27
675,"7,276",2023-03-28
678,"8,444",2023-03-29
677,"5,740",2023-03-30
678,"3,976",2023-03-31
678,"6,659",2023-04-03
672,"14,278",2023-04-04
670,"24,171",2023-04-05
669,"14,391",2023-04-06
639,"13,512",2023-04-07
650,"16,662",2023-04-10
622,"17,286",2023-04-11
597,"39,255",2023-04-12
585,"109,639",2023-04-13
614,"5,816",2023-04-14
605,"10,499",2023-04-17
603,"9,221",2023-04-18
600,"45,319",2023-04-19
605,"4,779",2023-04-20
605,"8,849",2023-04-21
604,"2,778",2023-04-24
600,"4,710",2023-04-25
601,"5,095",2023-04-26
602,"4,502",2023-04-27
605,"2,756",2023-04-28
602,"37,628",2023-05-01
596,"36,703",2023-05-02
599,"25,093",2023-05-03
600,"97,304",2023-05-04
600,"120,942",2023-05-05
600,"77,569",2023-05-08
599,"4,501",2023-05-09
590,"23,254",2023-05-10
589,"7,820",2023-05-11
589,"4,059",2023-05-12
585,"18,722",2023-05-15
580,"19,630",2023-05-16
577,"28,319",2023-05-17
576,"13,172",2023-05-18
574,"44,369",2023-05-19
570,"11,472",2023-05-22
