2nd Column,6th Column,8th Column
"3,700",510,2014-09-16
"3,700",290,2014-09-17
"3,660",250,2014-09-18
"3,750",300,2014-09-19
"3,700","4,015",2014-09-22
"3,800","3,539",2014-09-23
"3,700",284,2014-09-24
"3,700",582,2014-09-25
"3,700",250,2014-09-26
"3,700","1,206",2014-09-29
"3,700",887,2014-09-30
"3,800","3,103",2014-10-01
"3,700",80,2014-10-02
"3,701",50,2014-10-03
"3,700","1,600",2014-10-06
"3,750","2,100",2014-10-08
"3,750",94,2014-10-10
"3,750","4,494",2014-10-13
"3,700",73,2014-10-16
"3,750",396,2014-10-20
"3,700",75,2014-10-22
"3,700",45,2014-10-23
"3,800",95,2014-10-24
"3,800","1,815",2014-10-27
"3,800","1,520",2014-10-28
"3,800",145,2014-10-29
"3,800",52,2014-10-30
"3,790",517,2014-11-03
"3,752",787,2014-11-04
"3,800",15,2014-11-05
"3,800",122,2014-11-06
"3,753",559,2014-11-07
"3,750",70,2014-11-10
"3,750",100,2014-11-11
"3,710","2,185",2014-11-13
"3,740","2,097",2014-11-14
"3,735",5,2014-11-17
"3,745",628,2014-11-18
"3,700","3,644",2014-11-19
"3,700",36,2014-11-20
"3,651",468,2014-11-21
"3,650",280,2014-11-24
"3,650",60,2014-11-25
"3,650",3,2014-11-26
"3,650",66,2014-11-27
"3,700","5,168",2014-11-28
"3,780",160,2014-12-01
"3,750",50,2014-12-02
"3,750",950,2014-12-03
"3,779",11,2014-12-05
"3,779",86,2014-12-08
"3,779",905,2014-12-10
"3,779",2,2014-12-11
"3,800",793,2014-12-12
"3,751","8,000",2014-12-15
"4,200",58,2014-12-18
"4,190",16,2014-12-19
"3,760","5,000",2014-12-22
"3,751",65,2014-12-23
"3,770",48,2014-12-24
"3,770","2,000",2014-12-25
"3,751","1,600",2015-01-05
"3,756","4,900",2015-01-07
"3,701",75,2015-01-09
"3,710","1,750",2015-01-10
"3,750","1,600",2015-01-13
"3,750",762,2015-01-14
"3,750",8,2015-01-15
"3,750",38,2015-01-16
"3,711",223,2015-01-20
"3,700",53,2015-01-21
"3,700",3,2015-01-26
"3,700",28,2015-01-27
"3,700","2,805",2015-01-29
"3,700",353,2015-01-30
"3,700","2,623",2015-02-02
"3,700",2,2015-02-03
"3,700",105,2015-02-04
"3,611","1,310",2015-02-05
"3,610",735,2015-02-06
"3,700","3,406",2015-02-10
"3,700",110,2015-02-11
"3,690","1,661",2015-02-12
"3,670",570,2015-02-13
"3,650",350,2015-02-16
"3,625","2,108",2015-02-17
"3,620","2,115",2015-02-18
"3,620",150,2015-02-23
"3,620",350,2015-02-24
"3,600","1,093",2015-02-25
"3,600",52,2015-02-26
"3,600",200,2015-02-27
"3,600",175,2015-03-02
"3,600","1,472",2015-03-03
"3,600",300,2015-03-04
"3,600","2,247",2015-03-05
"3,500",499,2015-03-06
"3,500",11,2015-03-09
"3,600","2,466",2015-03-10
"3,600","2,205",2015-03-11
"3,550","2,715",2015-03-12
"3,590","3,340",2015-03-13
"3,590",392,2015-03-16
"3,590",260,2015-03-17
"3,590",83,2015-03-18
"3,500",53,2015-03-19
"3,400","2,063",2015-03-20
"3,590","1,777",2015-03-23
"3,590",153,2015-03-24
"3,600","7,835",2015-03-25
"3,580","3,361",2015-03-27
"3,580",130,2015-03-30
"3,550",59,2015-03-31
"3,500",403,2015-04-01
"3,500",765,2015-04-02
"3,500","2,648",2015-04-03
"3,550","2,953",2015-04-06
"3,650","2,121",2015-04-07
"3,650",105,2015-04-08
"3,700","1,272",2015-04-09
"3,580",458,2015-04-10
"3,580","2,347",2015-04-13
"3,580",310,2015-04-14
"3,580",283,2015-04-15
"3,580",120,2015-04-16
"3,550",479,2015-04-17
"3,540",891,2015-04-20
"3,550","1,375",2015-04-21
"3,550","2,277",2015-04-22
"3,550","1,327",2015-04-23
"3,550","2,302",2015-04-24
"3,580",884,2015-04-27
"3,560",601,2015-04-28
"3,550",513,2015-04-29
"3,579",690,2015-04-30
"3,550",490,2015-05-01
"3,550",50,2015-05-04
"3,495",959,2015-05-05
"3,495","1,155",2015-05-06
"3,499","5,634",2015-05-07
"3,500","2,360",2015-05-08
"3,500","1,178",2015-05-11
"3,580","3,183",2015-05-12
"3,580",570,2015-05-13
"3,500",250,2015-05-14
"3,490",10,2015-05-18
"3,450","1,360",2015-05-19
"3,400",901,2015-05-20
"3,400","1,700",2015-05-21
"3,400",99,2015-05-22
"3,560","7,330",2015-05-25
"3,560","1,543",2015-05-26
"3,560",150,2015-05-27
"3,560",8,2015-05-28
"3,500","1,067",2015-06-02
"3,560","3,401",2015-06-03
"3,500","1,022",2015-06-04
"3,460","1,978",2015-06-05
"3,500",950,2015-06-08
"3,500","4,040",2015-06-09
"3,550","8,591",2015-06-11
"3,559","6,514",2015-06-12
"4,040","4,721",2015-06-15
"4,000","2,668",2015-06-16
"4,000","4,525",2015-06-17
"4,000",630,2015-06-18
"3,999",10,2015-06-19
"3,900",10,2015-06-22
"3,999",566,2015-06-23
"3,900",13,2015-06-24
"3,800",502,2015-06-26
"3,749","20,576",2015-06-29
"3,749",50,2015-06-30
"3,650","1,547",2015-07-01
"3,748",219,2015-07-02
"3,650",10,2015-07-03
"3,650",824,2015-07-06
"3,650",180,2015-07-07
"3,650",446,2015-07-08
"3,650",70,2015-07-09
"3,650","4,545",2015-07-10
"3,748",713,2015-07-16
"3,600",759,2015-07-21
"3,600",105,2015-07-22
"3,600",100,2015-07-23
"3,600",292,2015-07-24
"3,600",150,2015-07-27
"3,600",50,2015-07-28
"3,600",486,2015-07-29
"3,501",1,2015-07-30
"3,590",50,2015-07-31
"3,590",205,2015-08-03
"3,590",750,2015-08-04
"3,590",70,2015-08-05
"3,590",25,2015-08-06
"3,570",99,2015-08-10
"3,570",242,2015-08-11
"3,560",115,2015-08-12
"3,560",90,2015-08-13
"3,560",45,2015-08-14
"3,560",15,2015-08-17
"3,550",66,2015-08-18
"3,550",99,2015-08-19
"3,560",54,2015-08-20
"3,560",5,2015-08-21
"3,500",40,2015-08-27
"3,500",5,2015-08-28
"3,500",163,2015-08-31
"3,330","1,789",2015-09-01
"3,490",214,2015-09-02
"3,500",530,2015-09-03
"3,500",250,2015-09-04
"3,500",20,2015-09-07
"3,445","1,002",2015-09-09
"3,445",3,2015-09-10
"3,550","19,954",2015-09-11
"3,560","3,004",2015-09-14
"3,600","1,575",2015-09-15
"3,600",500,2015-09-16
"3,600",425,2015-09-17
"3,600",547,2015-09-18
"3,600",825,2015-09-21
"3,600",488,2015-09-22
"3,600",550,2015-09-23
"3,600",525,2015-09-24
"3,600",659,2015-09-25
"3,600",599,2015-09-28
"3,590",500,2015-09-29
"3,600",500,2015-09-30
"3,600",385,2015-10-01
"3,600",180,2015-10-02
"3,600",247,2015-10-05
"3,600",50,2015-10-06
"3,599",50,2015-10-07
"3,599",110,2015-10-08
"3,599",115,2015-10-09
"3,600",202,2015-10-12
"3,600",102,2015-10-13
"3,600",65,2015-10-14
"3,600",75,2015-10-15
"3,600",25,2015-10-16
"3,590",175,2015-10-19
"3,590",110,2015-10-20
"3,590",37,2015-10-21
"3,580",295,2015-10-22
"3,580",779,2015-10-23
"3,580","1,433",2015-10-26
"3,580","2,382",2015-10-27
"3,580",978,2015-10-28
"3,580","1,100",2015-10-29
"3,800","1,827",2015-10-30
"3,790",300,2015-11-02
"3,790",137,2015-11-03
"3,780",545,2015-11-04
"3,780",140,2015-11-05
"3,779",20,2015-11-06
"3,778",425,2015-11-09
"3,678",115,2015-11-10
"3,678",350,2015-11-11
"3,778",395,2015-11-13
"3,778",175,2015-11-16
"3,779",263,2015-11-17
"3,779",5,2015-11-18
"3,750",231,2015-11-19
"3,750",110,2015-11-20
"3,750",105,2015-11-23
"3,750",127,2015-11-24
"3,750",75,2015-11-25
"3,750",50,2015-11-26
"3,749",110,2015-11-27
"3,749",50,2015-11-30
"3,738",220,2015-12-01
"3,749","1,541",2015-12-02
"3,749",127,2015-12-03
"3,749",105,2015-12-04
"3,600",72,2015-12-08
"3,540",503,2015-12-09
"3,600",520,2015-12-10
"3,600",302,2015-12-11
"3,700",400,2015-12-14
"3,700","1,050",2015-12-15
"3,700","1,214",2015-12-16
"3,750",412,2015-12-17
"3,550",2,2015-12-18
"3,700",316,2015-12-21
"3,540",609,2015-12-22
"3,530","1,959",2015-12-23
"3,550","5,856",2015-12-24
"3,820","6,329",2015-12-25
"4,000",461,2015-12-28
"3,979",165,2015-12-30
"3,899",386,2015-12-31
"3,849",175,2016-01-04
"3,848",105,2016-01-05
"3,779",125,2016-01-06
"3,600",65,2016-01-07
"3,595",400,2016-01-08
"3,595",462,2016-01-11
"3,580","1,200",2016-01-12
"3,580","1,175",2016-01-13
"3,550",460,2016-01-14
"3,580","4,852",2016-01-15
"3,750","4,441",2016-01-18
"3,800","1,389",2016-01-19
"3,777",267,2016-01-20
"3,760",588,2016-01-21
"3,760",495,2016-01-22
"3,749","3,412",2016-01-25
"3,490",225,2016-01-26
"3,500","1,498",2016-01-27
"3,480","6,057",2016-01-28
"3,459","2,970",2016-01-29
"3,400","4,367",2016-02-01
"3,500","10,913",2016-02-02
"3,750","10,048",2016-02-03
"3,799","23,396",2016-02-04
"3,910","37,738",2016-02-05
"3,790",630,2016-02-08
"3,260","47,202",2016-02-12
"3,689",150,2016-02-15
"3,690",189,2016-02-16
"3,600",257,2016-02-17
"3,600",580,2016-02-18
"3,600","6,012",2016-02-19
"3,850","3,468",2016-02-22
"3,799",290,2016-02-23
"3,798",303,2016-02-25
"3,775","1,088",2016-02-26
"3,780",700,2016-02-29
"3,750",583,2016-03-01
"3,750","1,255",2016-03-02
"3,740",901,2016-03-03
"3,750",402,2016-03-04
"3,680",261,2016-03-07
"3,700","4,740",2016-03-09
"3,700",732,2016-03-10
"3,650","1,141",2016-03-11
"3,750","2,640",2016-03-14
"3,750","9,355",2016-03-15
"3,800","8,474",2016-03-16
"3,600",12,2016-03-17
"3,550",47,2016-03-18
"3,550","2,037",2016-03-21
"3,550",123,2016-03-22
"3,550",243,2016-03-23
