2nd Column,6th Column,8th Column
"120,000",2,2014-11-19
"102,000",1,2015-01-05
"100,000",141,2015-01-06
"88,800",4,2015-01-30
"90,800",1,2015-02-02
"94,000",40,2015-02-23
"94,000",20,2015-02-24
"94,000",5,2015-02-25
"96,000",3,2015-02-26
"96,000",3,2015-03-03
"96,000",4,2015-03-17
"98,000",1,2015-04-24
"100,000",5,2015-05-01
"100,000",66,2015-05-07
"100,100",1,2015-05-21
"115,100",94,2015-06-17
"108,100",243,2015-07-02
"115,000",169,2015-07-06
"109,800",123,2015-07-07
"105,000",32,2015-07-21
"105,000",2,2015-07-22
"110,000",23,2015-08-05
"110,000",23,2015-09-04
"108,000",1,2015-09-09
"104,000",1,2015-09-21
"104,000",6,2015-09-22
"105,000",40,2015-09-25
"98,000",69,2015-09-30
"98,000",500,2015-11-23
"90,080",10,2015-11-30
"90,000",5,2015-12-02
"90,000",70,2015-12-14
"90,000",26,2015-12-21
"98,000",5,2015-12-31
"90,000",65,2016-01-06
"102,800",4,2016-01-08
"105,000",7,2016-01-12
"105,000",21,2016-01-13
"110,000",28,2016-01-14
"105,000",12,2016-01-15
"100,000",8,2016-01-19
"100,000",78,2016-01-20
"100,000",1,2016-01-21
"105,000",5,2016-01-25
"105,000",8,2016-01-26
"105,000",1,2016-01-29
"120,700",56,2016-02-01
"123,300",25,2016-02-02
"140,400",52,2016-02-03
"150,000",26,2016-02-04
"150,000",20,2016-02-05
"150,000",22,2016-02-08
"150,000",3,2016-02-12
"155,000",57,2016-02-15
"155,000",153,2016-02-16
"155,000",32,2016-02-17
"155,000",14,2016-02-18
"150,000",11,2016-02-19
"150,000",13,2016-02-22
"135,000",4,2016-02-26
"135,000",8,2016-02-29
"128,400",3,2016-03-02
"120,000",1,2016-03-07
"120,000",3,2016-03-14
"130,000",4,2016-03-17
"126,000",1,2016-03-18
"120,000",3,2016-03-21
"115,000",11,2016-03-28
"110,000",20,2016-03-30
"110,000",56,2016-04-06
"105,000",10,2016-04-07
"110,000",10,2016-04-11
"110,000",10,2016-04-12
"110,000",46,2016-04-13
"110,000",2,2016-04-14
"110,000",31,2016-04-15
"120,000",48,2016-04-18
"129,000",42,2016-04-19
"135,000",55,2016-04-20
"135,000",38,2016-04-21
"125,000",10,2016-04-22
"120,000",27,2016-04-25
"110,000",20,2016-04-28
"124,700",25,2016-05-03
"135,000",17,2016-05-04
"140,000",17,2016-05-05
"140,000",15,2016-05-06
"140,000",39,2016-05-09
"139,000",1,2016-05-10
"138,600",6,2016-05-11
"130,000",53,2016-05-12
"137,600",8,2016-05-16
"135,000",16,2016-05-19
"137,600",7,2016-05-20
"137,600",2,2016-05-24
"137,600",21,2016-05-25
"137,000",5,2016-05-27
"138,000",12,2016-05-30
"140,000",78,2016-05-31
"145,000",18,2016-06-06
"145,000",19,2016-06-08
"145,000",20,2016-06-09
"145,000",8,2016-06-10
167,"277,242",2016-06-20
169,"189,563",2016-06-21
164,"199,083",2016-06-22
156,"40,005",2016-06-23
152,"10,995",2016-06-24
152,"3,624",2016-06-27
152,"6,700",2016-06-28
150,"4,608",2016-06-30
150,"10,379",2016-07-01
153,"6,157",2016-07-04
153,"5,200",2016-07-05
154,"2,338",2016-07-06
154,"13,000",2016-07-07
156,"15,253",2016-07-08
155,"4,001",2016-07-18
153,"3,452",2016-07-19
154,271,2016-07-21
147,"11,513",2016-08-02
145,410,2016-08-10
145,"3,590",2016-08-11
145,"5,968",2016-08-15
154,"2,441",2016-07-22
154,309,2016-07-25
154,880,2016-07-26
154,696,2016-07-27
153,"52,222",2016-07-28
150,133,2016-07-29
150,"10,536",2016-08-01
149,"8,900",2016-08-03
149,"2,439",2016-08-04
149,396,2016-08-05
147,"2,050",2016-08-08
148,"10,649",2016-08-09
145,"1,000",2016-08-12
147,"4,910",2016-08-16
147,"7,604",2016-08-17
141,"1,500",2016-08-18
145,672,2016-08-19
144,"3,283",2016-08-23
144,"6,055",2016-08-24
140,"2,904",2016-08-25
142,13,2016-08-26
138,"16,940",2016-08-29
143,"17,211",2016-08-30
135,"9,183",2016-08-31
131,"3,445",2016-09-01
131,"2,820",2016-09-05
131,"14,375",2016-09-06
136,"7,000",2016-09-08
136,395,2016-09-09
136,65,2016-09-12
136,"11,590",2016-09-13
132,54,2016-09-14
129,78,2016-09-15
130,809,2016-09-16
130,"10,269",2016-09-19
125,"4,480",2016-09-20
130,"12,376",2016-09-21
136,"8,540",2016-09-22
139,413,2016-09-23
139,277,2016-09-27
138,"8,486",2016-09-28
138,"6,091",2016-09-29
138,"5,346",2016-09-30
136,"7,196",2016-10-03
137,"11,900",2016-10-04
140,"10,999",2016-10-05
139,"2,858",2016-10-06
139,677,2016-10-07
139,"2,250",2016-10-10
139,"20,350",2016-10-11
139,308,2016-10-12
139,"1,666",2016-10-13
139,"8,056",2016-10-14
138,6,2016-10-17
138,610,2016-10-18
137,21,2016-10-20
137,"2,080",2016-10-21
133,"1,252",2016-10-24
135,200,2016-10-25
134,"5,500",2016-10-26
134,"2,921",2016-10-27
137,"2,082",2016-10-28
135,770,2016-11-01
135,130,2016-11-02
135,875,2016-11-03
135,500,2016-11-04
134,"5,778",2016-11-07
135,"6,531",2016-11-08
130,"3,372",2016-11-10
130,1,2016-11-11
130,"5,589",2016-11-14
127,"3,360",2016-11-15
127,"2,826",2016-11-16
128,"9,764",2016-11-17
127,859,2016-11-18
127,"1,525",2016-11-21
127,"75,043",2016-11-22
128,"11,350",2016-11-23
134,"7,826",2016-11-24
131,"2,010",2016-11-28
130,"8,049",2016-11-29
135,"2,377",2016-11-30
130,"5,752",2016-12-01
136,"4,401",2016-12-02
137,"7,249",2016-12-05
132,"7,900",2016-12-06
130,"1,750",2016-12-07
130,"6,462",2016-12-08
128,72,2016-12-09
136,"22,747",2016-12-12
130,200,2016-12-13
132,"2,000",2016-12-14
130,"57,137",2016-12-15
130,"3,820",2016-12-16
129,"1,646",2016-12-19
130,"2,275",2016-12-20
128,110,2016-12-21
127,"10,229",2016-12-22
128,"236,203",2016-12-23
130,"4,449",2016-12-26
135,"9,730",2016-12-27
130,"10,892",2016-12-28
129,"10,371",2017-01-02
129,"11,562",2017-01-03
129,"3,835",2017-01-04
129,"5,141",2017-01-06
128,"14,935",2017-01-07
129,"10,380",2017-01-09
130,"9,420",2017-01-10
130,"31,500",2017-01-11
129,"29,100",2017-01-12
129,"3,000",2017-01-13
130,520,2017-01-16
130,"4,223",2017-01-17
129,428,2017-01-18
129,"8,667",2017-01-19
129,"12,299",2017-01-20
129,"10,438",2017-01-23
128,"1,833",2017-01-24
128,"9,167",2017-01-25
129,378,2017-01-26
130,"5,069",2017-01-27
129,"8,593",2017-01-30
130,"22,388",2017-01-31
125,"10,500",2017-02-01
129,"6,312",2017-02-02
129,530,2017-02-03
129,"5,346",2017-02-06
129,"2,852",2017-02-07
129,"1,806",2017-02-08
128,"3,257",2017-02-09
128,"1,229",2017-02-10
135,"53,597",2017-02-14
130,"2,553",2017-02-15
129,"1,000",2017-02-17
130,"3,160",2017-02-20
129,"20,870",2017-02-21
130,"2,327",2017-02-22
130,988,2017-02-23
130,"15,880",2017-02-24
129,350,2017-03-02
130,"15,889",2017-03-03
130,600,2017-03-06
130,"8,250",2017-03-07
130,"17,727",2017-03-09
131,"6,000",2017-03-10
131,"6,369",2017-03-13
132,"7,565",2017-03-14
132,840,2017-03-15
140,247,2017-03-16
139,"1,680",2017-03-17
133,"1,078",2017-03-20
135,822,2017-03-21
135,"14,693",2017-03-22
135,"11,260",2017-03-23
135,"6,040",2017-03-24
132,10,2017-03-27
136,"1,050",2017-03-28
136,"1,737",2017-03-29
134,"14,000",2017-03-30
135,20,2017-03-31
134,108,2017-04-03
134,25,2017-04-04
133,"4,117",2017-04-05
133,"3,129",2017-04-06
133,"15,425",2017-04-07
130,"2,000",2017-04-10
130,"10,207",2017-04-12
133,"10,139",2017-04-13
132,"10,000",2017-04-14
132,"11,270",2017-04-17
132,"11,161",2017-04-18
132,"10,053",2017-04-19
130,"1,000",2017-04-20
132,900,2017-04-21
130,285,2017-04-24
130,"1,957",2017-04-25
132,554,2017-04-26
132,"3,901",2017-04-27
130,"11,672",2017-05-01
130,"43,391",2017-05-02
132,300,2017-05-03
131,200,2017-05-04
131,"1,222",2017-05-05
130,"10,723",2017-05-08
129,"5,318",2017-05-10
129,100,2017-05-11
129,48,2017-05-12
129,850,2017-05-15
129,"6,694",2017-05-17
129,458,2017-05-19
128,"1,158",2017-05-22
130,790,2017-05-23
130,172,2017-05-24
