2nd Column,6th Column,8th Column
"5,500","1,683",2014-09-16
"5,210","1,102",2014-09-19
"5,250","2,997",2014-09-22
"5,245","1,000",2014-09-23
"5,205",855,2014-09-24
"5,225",2,2014-09-25
"5,205",276,2014-09-26
"5,100",117,2014-09-29
"5,000",40,2014-10-02
"4,861",450,2014-10-03
"5,050",435,2014-10-06
"5,000",70,2014-10-09
"5,000",9,2014-10-10
"5,000",70,2014-10-15
"5,000",241,2014-10-16
"5,000",175,2014-10-20
"5,000",164,2014-10-21
"5,000","2,353",2014-10-22
"5,000",155,2014-10-23
"4,800",21,2014-10-24
"4,900",9,2014-10-27
"4,850",91,2014-10-28
"4,800",50,2014-10-29
"4,810",149,2014-11-03
"4,800",5,2014-11-04
"4,700",40,2014-11-05
"4,690",107,2014-11-10
"4,690",25,2014-11-12
"4,690",126,2014-11-14
"4,600",19,2014-11-18
"4,600",13,2014-11-19
"4,600",102,2014-11-25
"4,590",250,2014-11-28
"4,590",2,2014-12-03
"4,550",10,2014-12-04
"4,550",130,2014-12-05
"4,400",130,2014-12-09
"4,000",9,2014-12-10
"4,500",175,2014-12-11
"4,490",135,2014-12-12
"4,400",102,2014-12-15
"4,020",156,2014-12-16
"4,100",200,2014-12-17
"4,000",90,2014-12-19
"4,000",24,2014-12-22
"4,000",80,2014-12-23
"4,500","16,237",2014-12-24
"4,499",3,2014-12-26
"4,400",3,2014-12-30
"4,400",23,2014-12-31
"4,200",307,2015-01-06
"4,200",20,2015-01-07
"4,200",308,2015-01-08
"4,100",170,2015-01-09
"4,100",20,2015-01-10
"4,050","1,267",2015-01-12
"4,300",195,2015-01-13
"4,400",240,2015-01-14
"4,350",20,2015-01-15
"4,300",111,2015-01-16
"4,100",46,2015-01-20
"4,200",32,2015-01-21
"4,200",249,2015-01-22
"4,100",134,2015-01-26
"4,100",60,2015-01-30
"4,100",822,2015-02-02
"4,100",41,2015-02-03
"4,100",50,2015-02-04
"4,050",255,2015-02-05
"4,020",10,2015-02-06
"4,011",15,2015-02-10
"4,010",7,2015-02-11
"4,000",249,2015-02-12
"3,900",185,2015-02-13
"3,900",50,2015-02-16
"3,900",10,2015-02-17
"3,850",14,2015-02-18
"3,850",10,2015-02-23
"3,850",10,2015-02-26
"3,850",200,2015-02-27
"3,849",100,2015-03-02
"3,750",137,2015-03-03
"3,500","3,413",2015-03-04
"3,700",30,2015-03-05
"3,700",28,2015-03-06
"3,601",328,2015-03-09
"3,600",546,2015-03-10
"4,000",163,2015-03-11
"4,485","44,755",2015-03-12
"4,250",35,2015-03-16
"4,200",105,2015-03-17
"4,000",100,2015-03-20
"3,801",28,2015-03-23
"3,999",40,2015-03-24
"3,999",5,2015-03-25
"3,999",67,2015-03-26
"3,900","1,110",2015-03-30
"3,999",1,2015-04-02
"3,999",5,2015-04-06
"3,999",345,2015-04-07
"3,999",85,2015-04-08
"3,801",3,2015-04-09
"3,940",8,2015-04-10
"3,939",11,2015-04-13
"3,802",622,2015-04-14
"3,500",411,2015-04-15
"3,550",10,2015-04-17
"3,550",25,2015-04-23
"3,780",181,2015-04-27
"3,401",100,2015-04-30
"3,403",10,2015-05-04
"3,700",5,2015-05-05
"3,350",50,2015-05-08
"3,699",30,2015-05-13
"3,600",40,2015-05-19
"3,700",57,2015-05-20
"3,650",13,2015-05-21
"3,650",320,2015-05-22
"3,779","1,155",2015-05-25
"3,720",50,2015-05-26
"3,720",124,2015-05-27
"3,744",50,2015-05-28
"3,900","1,394",2015-06-02
"3,900",118,2015-06-03
"3,900",665,2015-06-04
"3,900",706,2015-06-05
"3,900","2,149",2015-06-08
"4,270","2,038",2015-06-09
"4,000",31,2015-06-10
"4,000","1,342",2015-06-11
"4,299",700,2015-06-12
"4,350",572,2015-06-15
"4,350","3,955",2015-06-16
"4,180",500,2015-06-17
"4,100",437,2015-06-19
"3,900",5,2015-06-22
"3,900",360,2015-06-23
"3,801",10,2015-06-24
"3,800",8,2015-06-25
"3,800",192,2015-06-26
"3,885","5,000",2015-06-29
"3,800",99,2015-07-02
"3,750",40,2015-07-03
"3,651",39,2015-07-06
"3,650",78,2015-07-07
"3,605",120,2015-07-08
"3,650",33,2015-07-09
"3,650",10,2015-07-10
"3,650",20,2015-07-16
"3,610",95,2015-07-17
"3,610",15,2015-07-22
"3,601",239,2015-07-24
"3,502",165,2015-07-29
"3,440",100,2015-07-30
"3,401","2,046",2015-08-03
"3,440",447,2015-08-04
"3,490",275,2015-08-05
"3,301",48,2015-08-06
"3,300",5,2015-08-07
"3,300",75,2015-08-11
"3,300",66,2015-08-12
"3,100",27,2015-08-13
"3,290",5,2015-08-20
"3,290",200,2015-08-27
"3,151",269,2015-08-28
"3,450",107,2015-09-04
"3,449",10,2015-09-07
"3,446",221,2015-09-09
"3,446",63,2015-09-10
"3,446",470,2015-09-14
"3,447",556,2015-09-15
"3,447",450,2015-09-16
"3,950",12,2015-09-17
"3,850",89,2015-09-23
"3,890",7,2015-09-24
"3,700",6,2015-09-30
"3,660",13,2015-10-01
"3,600",122,2015-10-02
"3,600",202,2015-10-06
"3,500",59,2015-10-07
"3,500",5,2015-10-08
"3,500",7,2015-10-09
"3,500",300,2015-10-12
"3,650","1,001",2015-10-13
"3,600","1,025",2015-10-15
"3,600","1,804",2015-10-20
"3,600",30,2015-10-22
"3,500",20,2015-10-26
"3,490",126,2015-10-28
"3,490",216,2015-10-29
"3,500","1,145",2015-10-30
"3,490",74,2015-11-02
"3,360",35,2015-11-03
"3,350",50,2015-11-04
"3,250",10,2015-11-05
"3,300",205,2015-11-06
"3,400",630,2015-11-13
"3,280",50,2015-11-16
"3,350",150,2015-11-18
