2nd Column,6th Column,8th Column
100,"45,028",2015-02-27
975,"45,028",2015-03-16
500,420,2015-12-09
500,162,2016-07-19
576,53,2017-12-15
663,"10,220",2017-12-18
762,43,2017-12-19
876,100,2017-12-20
"1,007",200,2017-12-21
"1,158","1,500",2017-12-22
"1,331",1,2017-12-25
"1,530","1,000",2017-12-26
"1,759","17,617",2017-12-27
"2,000","24,960",2017-12-28
"1,800","7,155",2018-01-02
"1,700","3,602",2018-01-03
"1,600","7,800",2018-01-04
"1,600","1,685",2018-01-05
"1,550","2,741",2018-01-08
"1,700","13,611",2018-01-09
"1,680","2,605",2018-01-10
"1,700","2,982",2018-01-12
"1,680","2,745",2018-01-15
"1,700","1,760",2018-01-16
"1,700","8,927",2018-01-17
"1,600","4,487",2018-01-18
"1,760","5,764",2018-01-19
"1,700","5,310",2018-01-22
"1,880","6,460",2018-01-23
"1,840",231,2018-01-24
"1,700","1,050",2018-01-25
"1,700","1,077",2018-01-29
"1,600","5,000",2018-01-30
"1,690",10,2018-01-31
"1,567","1,000",2018-02-01
"1,690","1,424",2018-02-05
"1,660","2,113",2018-02-06
"1,501",709,2018-02-07
"1,475","2,012",2018-02-08
"1,436","4,560",2018-02-09
"1,430","4,820",2018-02-13
"1,450","2,932",2018-02-14
"1,430",520,2018-02-15
"1,450","4,507",2018-02-20
"1,400","1,200",2018-02-21
"1,400","1,348",2018-02-23
"1,500","3,809",2018-02-26
"1,350","3,000",2018-02-27
"1,450","2,017",2018-02-28
"1,335",735,2018-03-01
"1,356",800,2018-03-02
"1,450","1,378",2018-03-05
"1,400",260,2018-03-06
"1,450",353,2018-03-07
"1,450",18,2018-03-09
"1,400",35,2018-03-13
"1,500","1,699",2018-03-14
0,"6,500",2018-03-15
"1,500","7,000",2018-03-16
"1,600","5,900",2018-03-19
"1,815","8,550",2018-03-20
"2,000","7,495",2018-03-21
"1,889","1,780",2018-03-22
"1,850",615,2018-03-23
"1,850","11,945",2018-03-26
"1,900","1,077",2018-03-27
"1,750","1,751",2018-03-28
"1,710",600,2018-03-29
"1,710","5,176",2018-03-30
"1,715","1,120",2018-04-02
"1,710","3,560",2018-04-03
"1,700",100,2018-04-04
"1,700","5,900",2018-04-05
"1,601","2,891",2018-04-06
"1,800","3,857",2018-04-09
"1,700",499,2018-04-10
"1,700",637,2018-04-11
"1,820","4,157",2018-04-12
"1,800",12,2018-04-13
"1,800","2,180",2018-04-16
"1,850","5,194",2018-04-17
"1,850","9,858",2018-04-18
"1,810","26,035",2018-04-19
"1,700","9,474",2018-04-20
"1,749","15,180",2018-04-23
"1,699","15,109",2018-04-24
"1,550","70,211",2018-04-25
"1,550","54,733",2018-04-26
"1,600","6,609",2018-04-27
"1,799","38,477",2018-04-30
"1,700","1,469",2018-05-01
"1,680","10,359",2018-05-02
"1,610","6,175",2018-05-03
"1,600","3,066",2018-05-04
"1,590","3,636",2018-05-07
"1,560","1,703",2018-05-08
"1,580","1,002",2018-05-09
"1,560","6,919",2018-05-10
"1,590","4,575",2018-05-11
"1,585","1,578",2018-05-14
"1,590","1,100",2018-05-15
"1,555",200,2018-05-16
"1,590",60,2018-05-17
"1,556","6,943",2018-05-18
"1,500","1,460",2018-05-21
"1,500","7,800",2018-05-22
"1,530",590,2018-05-23
"1,530","2,309",2018-05-24
"1,490","2,457",2018-05-25
"1,490",25,2018-05-28
"1,490","1,298",2018-05-29
"1,500","4,424",2018-05-30
"1,500","9,464",2018-05-31
"1,501","3,237",2018-06-04
"1,500","1,174",2018-06-05
"1,500","7,707",2018-06-07
"1,500","2,326",2018-06-08
"1,500",43,2018-06-11
"1,499",77,2018-06-12
"1,500","1,000",2018-06-14
"1,490",205,2018-06-15
"1,470","2,434",2018-06-18
"1,470","1,630",2018-06-19
"1,500","2,928",2018-06-20
"1,500",746,2018-06-21
"1,500","1,521",2018-06-22
"1,450","1,104",2018-06-25
"1,450","2,101",2018-06-27
"1,430",150,2018-06-28
"1,490",964,2018-06-29
"1,490",4,2018-07-02
"1,490","2,369",2018-07-03
"1,500","1,100",2018-07-04
"1,495","13,000",2018-07-05
"1,500","3,732",2018-07-06
"1,430",600,2018-07-09
"1,440","1,100",2018-07-16
"1,490","7,916",2018-07-17
"1,490",235,2018-07-20
"1,490","7,593",2018-07-24
"1,450","3,000",2018-07-25
"1,546","6,389",2018-07-26
"1,430",3,2018-07-27
"1,544",102,2018-07-31
"1,422","1,800",2018-08-02
"1,500",53,2018-08-03
"1,640","1,659",2018-08-06
"1,620","1,650",2018-08-07
"1,600","5,090",2018-08-09
"1,618",2,2018-08-10
"1,600",300,2018-08-14
"1,599",110,2018-08-16
"1,460",1,2018-08-17
"1,460",509,2018-08-20
"1,500",82,2018-08-21
"1,501",66,2018-08-22
"1,505",520,2018-08-24
"1,500",993,2018-08-27
"1,629","4,340",2018-08-28
"1,635",4,2018-08-29
"1,470",250,2018-08-31
"1,470",100,2018-09-03
"1,610","3,773",2018-09-05
"1,590",919,2018-09-10
"1,610","16,062",2018-09-11
"1,619","1,614",2018-09-12
"1,610",600,2018-09-13
