2nd Column,6th Column,8th Column
"2,700",286,2021-12-14
"2,580","2,535",2021-12-15
"2,540","12,504",2021-12-16
"2,580","15,265",2021-12-17
"2,578","3,284",2021-12-20
"2,590","3,823",2021-12-21
"2,540","3,914",2021-12-22
"2,555","6,529",2021-12-23
"2,549",704,2021-12-24
"2,538","4,808",2021-12-27
"2,536",823,2021-12-28
"2,534","2,460",2021-12-30
"2,537","2,429",2021-12-31
"2,519",791,2022-01-03
"2,518","2,812",2022-01-04
"2,500","4,995",2022-01-05
"2,518","7,657",2022-01-06
"2,539","1,911",2022-01-07
"2,555","3,810",2022-01-10
"2,570","5,161",2022-01-11
"2,580","2,567",2022-01-12
"2,594","29,636",2022-01-13
"2,593","7,422",2022-01-14
"2,595","2,390",2022-01-17
"2,565",948,2022-01-18
"2,594","1,711",2022-01-19
"2,580",754,2022-01-20
"2,580","8,217",2022-01-21
"2,563","1,785",2022-01-24
"2,578","2,507",2022-01-25
"2,540",42,2022-01-26
"2,540",325,2022-01-27
"2,572","1,140",2022-01-28
"2,550",417,2022-01-31
"2,580","2,872",2022-02-01
"2,577","2,833",2022-02-07
"2,580","3,698",2022-02-08
"2,575","2,377",2022-02-09
"2,569","1,010",2022-02-10
"2,579","3,754",2022-02-11
"2,570",681,2022-02-14
"2,570","5,863",2022-02-15
"2,565",600,2022-02-16
"2,560","1,436",2022-02-18
"2,560","1,204",2022-02-21
"2,559",678,2022-02-22
"2,550",594,2022-02-23
"2,502",412,2022-02-24
"2,505","1,362",2022-02-25
"2,560","3,147",2022-02-28
"2,549",130,2022-03-02
"2,542",370,2022-03-03
"2,510",165,2022-03-04
"2,507","2,100",2022-03-07
"2,505","2,418",2022-03-09
"2,505","1,073",2022-03-10
"2,500",280,2022-03-11
"2,500",204,2022-03-14
"2,500",96,2022-03-15
"2,500",939,2022-03-17
"2,506","5,517",2022-03-18
"2,450",120,2022-03-21
"2,505",199,2022-03-22
"2,500",210,2022-03-23
"2,500",105,2022-03-24
"2,499",373,2022-03-25
"2,500","7,513",2022-03-28
"2,500",455,2022-03-29
"2,500","1,140",2022-03-30
"2,500","5,320",2022-03-31
"2,495",398,2022-04-01
"2,440","3,984",2022-04-04
"2,400",265,2022-04-05
"2,400","45,406",2022-04-06
"2,400",151,2022-04-07
