2nd Column,6th Column,8th Column
"8,200",9,2014-09-19
"8,200",26,2014-09-22
"8,100",120,2014-09-24
"8,000",200,2014-09-29
"8,000",10,2014-09-30
"8,100",200,2014-10-01
"8,100",267,2014-10-02
"8,100",700,2014-10-08
"8,100",485,2014-10-09
"8,100",237,2014-10-10
"8,100",200,2014-10-13
"8,100",440,2014-10-14
"8,000",41,2014-10-16
"8,000",125,2014-10-17
"8,000",186,2014-10-21
"8,000",110,2014-10-22
"8,000",205,2014-10-23
"8,000",207,2014-10-24
"8,000",73,2014-10-28
"7,990",20,2014-10-30
"7,800",10,2014-10-31
"7,900",102,2014-11-03
"7,550",119,2014-11-06
"7,550",14,2014-11-10
"7,500",27,2014-11-11
"7,500",210,2014-11-12
"7,500",300,2014-11-13
"7,500",200,2014-11-14
"7,500",105,2014-11-17
"7,500",215,2014-11-18
"7,500",297,2014-11-19
"7,400",27,2014-11-20
"7,400",80,2014-11-21
"7,400",52,2014-11-26
"7,400",118,2014-11-27
"7,450",463,2014-11-28
"7,500","1,259",2014-12-01
"7,400",9,2014-12-02
"7,450",768,2014-12-03
"7,500",115,2014-12-08
"7,400",48,2014-12-09
"7,500",167,2014-12-11
"7,400",128,2014-12-12
"7,200",17,2014-12-15
"7,020",138,2014-12-16
"7,020",51,2014-12-17
"7,020",7,2014-12-19
"7,050",75,2014-12-22
"7,020",2,2014-12-23
"7,020",44,2014-12-24
"7,020",8,2014-12-25
"7,200",41,2014-12-26
"7,500",32,2014-12-30
"7,450",2,2014-12-31
"7,500",83,2015-01-06
"7,400",78,2015-01-09
"7,500",14,2015-01-10
"7,500",64,2015-01-13
"7,450",8,2015-01-14
"7,400",14,2015-01-15
"7,400",23,2015-01-16
"7,340",54,2015-01-20
"7,200",78,2015-01-21
"7,200",114,2015-01-22
"7,170",90,2015-01-23
"7,200",67,2015-01-27
"7,200",45,2015-01-29
"7,350",34,2015-02-02
"7,350",1,2015-02-03
"7,400",37,2015-02-04
"7,350",664,2015-02-05
"7,350",68,2015-02-06
"7,250",88,2015-02-10
"7,300",772,2015-02-11
"7,350",233,2015-02-12
"7,350",600,2015-02-13
"7,400",900,2015-02-16
"7,300",395,2015-02-17
"7,500",623,2015-02-23
"7,400",310,2015-02-24
"7,400",17,2015-02-25
"7,400",86,2015-02-26
"7,400",100,2015-02-27
"7,400",200,2015-03-02
"7,350",900,2015-03-03
"7,340",595,2015-03-04
"7,300",200,2015-03-06
"7,300",105,2015-03-09
"7,300",56,2015-03-10
"7,300",500,2015-03-11
"7,300",147,2015-03-12
"7,340","1,498",2015-03-13
"7,400",245,2015-03-16
"7,400",273,2015-03-17
"7,400",161,2015-03-18
"7,200",17,2015-03-19
"7,300",712,2015-03-20
"7,250",216,2015-03-24
"7,250",18,2015-03-25
"7,290",145,2015-03-26
"7,290",30,2015-03-27
"7,400",113,2015-03-30
"7,400",99,2015-03-31
"7,400",225,2015-04-01
"7,400",25,2015-04-02
"7,500",66,2015-04-03
"7,500",14,2015-04-06
"7,590",82,2015-04-07
"7,590",193,2015-04-09
"7,510",45,2015-04-10
"7,600",144,2015-04-13
"7,690",80,2015-04-14
"7,500",79,2015-04-15
"7,600",144,2015-04-16
"7,820",17,2015-04-17
"7,600",18,2015-04-21
"7,510",150,2015-04-22
"7,550",178,2015-04-23
"7,550",54,2015-04-24
"7,550",161,2015-04-27
"7,500",17,2015-04-28
"7,510",72,2015-04-29
"7,790",5,2015-04-30
"7,550",121,2015-05-01
"7,520",95,2015-05-04
"7,520","1,734",2015-05-05
"7,525",603,2015-05-06
"7,525",50,2015-05-07
"7,525",15,2015-05-08
"7,600",690,2015-05-13
"7,550",232,2015-05-14
"7,550",400,2015-05-15
"7,595",19,2015-05-18
"7,790",867,2015-05-19
"7,815",159,2015-05-20
"8,900",48,2015-05-21
"8,400",196,2015-05-25
"8,000",86,2015-05-26
"8,000",149,2015-05-27
"8,400",90,2015-05-28
"8,025",20,2015-05-29
"8,800",135,2015-06-02
"8,450",82,2015-06-03
"8,500",160,2015-06-04
"8,700",85,2015-06-05
"8,700",333,2015-06-08
"8,800",196,2015-06-09
"8,880",93,2015-06-10
"8,805",44,2015-06-11
"8,890",9,2015-06-12
"9,000",84,2015-06-15
"10,130",286,2015-06-16
"11,200",479,2015-06-17
"12,000",147,2015-06-18
"11,000",321,2015-06-19
"11,000",105,2015-06-23
"11,000",128,2015-06-24
"10,500",355,2015-06-25
"10,500","1,781",2015-06-26
"10,200",8,2015-06-29
"10,100",207,2015-06-30
"10,050",202,2015-07-01
"10,400",92,2015-07-02
"10,100","1,326",2015-07-03
"10,000",187,2015-07-06
"9,950",110,2015-07-07
"8,800",271,2015-07-09
"9,500",2,2015-07-16
"9,500",35,2015-07-20
"9,000",46,2015-07-22
"9,400",39,2015-07-23
"8,800",64,2015-07-24
"9,000",62,2015-07-27
"8,990",17,2015-07-29
"9,000",77,2015-07-30
"10,250",578,2015-07-31
"9,350",5,2015-08-03
"9,100",126,2015-08-04
"9,350",81,2015-08-05
"9,100",205,2015-08-06
"9,000",62,2015-08-07
"9,000",174,2015-08-10
"8,950",42,2015-08-11
"8,900",50,2015-08-12
"8,850",129,2015-08-13
"8,800",50,2015-08-17
"8,900",12,2015-08-18
"8,510",18,2015-08-20
"8,600",128,2015-08-21
"8,510",84,2015-08-25
"8,510",55,2015-08-26
"8,520",10,2015-08-27
"8,520",36,2015-08-28
"8,880",10,2015-08-31
"8,900",66,2015-09-01
"8,900",14,2015-09-02
"8,600",45,2015-09-03
"8,790",2,2015-09-10
"8,790",41,2015-09-11
"8,790",819,2015-09-14
"8,800",54,2015-09-15
"8,900",132,2015-09-16
"9,500",70,2015-09-17
"9,200",34,2015-09-22
"9,200",13,2015-09-24
"9,200",13,2015-09-28
"8,800",32,2015-09-30
"8,800",57,2015-10-06
"8,800",67,2015-10-07
"8,800",224,2015-10-08
"8,800",10,2015-10-09
"8,530",345,2015-10-12
"8,530",75,2015-10-13
"8,110",13,2015-10-14
"8,260",71,2015-10-16
"8,265",80,2015-10-19
"9,200",137,2015-10-21
"8,825",70,2015-10-23
"8,900",98,2015-10-26
"8,900",100,2015-10-27
"8,900",20,2015-10-28
"8,880",4,2015-10-29
"8,505",10,2015-10-30
"8,800",227,2015-11-02
"8,800",167,2015-11-03
"8,800",98,2015-11-04
"8,700",7,2015-11-05
"8,600",5,2015-11-06
"8,550",201,2015-11-09
"8,350",64,2015-11-11
"8,300",24,2015-11-13
"8,310",377,2015-11-16
"8,500",22,2015-11-17
"8,790",45,2015-11-19
"8,790",25,2015-11-20
"8,780",97,2015-11-26
"8,780",5,2015-11-27
"8,745",10,2015-11-30
"8,750",86,2015-12-01
"8,510",9,2015-12-02
"8,510",18,2015-12-04
"8,510",180,2015-12-08
"8,505","8,232",2015-12-09
"8,505",36,2015-12-10
"8,505",54,2015-12-11
"8,505",138,2015-12-14
"8,600",306,2015-12-15
"8,510",223,2015-12-21
"8,500",546,2015-12-22
"8,500",265,2015-12-24
"8,500",110,2015-12-25
"8,480",246,2015-12-28
"8,450",100,2015-12-30
"8,500",132,2015-12-31
"8,500",90,2016-01-04
"8,500",51,2016-01-06
"8,500",57,2016-01-07
"8,410",100,2016-01-11
"8,400",10,2016-01-12
"8,320",48,2016-01-13
"8,320",120,2016-01-14
"8,200",54,2016-01-18
"8,200",96,2016-01-19
"8,200",100,2016-01-20
"8,200",36,2016-01-21
"8,200",102,2016-01-22
"8,250",97,2016-01-25
"8,200",100,2016-01-26
"8,180",93,2016-01-27
"8,100",91,2016-01-29
"8,100",36,2016-02-01
"8,110",23,2016-02-02
"8,100",34,2016-02-03
"8,105",59,2016-02-04
"8,180",73,2016-02-05
"8,200",275,2016-02-08
"8,200",190,2016-02-12
"8,300","2,093",2016-02-15
"8,400",171,2016-02-17
"8,500","4,899",2016-02-19
"8,100",48,2016-02-22
"8,150",169,2016-02-25
"8,250",40,2016-02-26
"8,300",15,2016-02-29
"8,250",108,2016-03-01
"8,200",367,2016-03-02
"8,190",104,2016-03-03
"8,450",446,2016-03-04
"8,200",1,2016-03-09
"8,450",305,2016-03-10
"8,450",40,2016-03-11
"8,200",159,2016-03-14
"8,200",321,2016-03-15
"8,300",16,2016-03-16
"8,200",153,2016-03-17
"8,250",113,2016-03-18
"8,250",147,2016-03-21
"8,300",39,2016-03-22
"8,300",30,2016-03-23
"8,300",30,2016-03-23
"8,210",95,2016-03-24
"8,210",51,2016-03-28
"8,200",164,2016-03-30
"8,200","1,000",2016-03-31
"8,200","2,005",2016-04-01
"8,150",350,2016-04-04
"8,200",111,2016-04-05
"8,130","1,670",2016-04-06
"8,100",105,2016-04-07
"8,050",32,2016-04-08
"8,150",528,2016-04-11
"8,100",735,2016-04-12
"8,100",40,2016-04-13
"8,100",234,2016-04-14
"8,100",114,2016-04-15
"8,050",55,2016-04-18
"8,000",20,2016-04-19
"8,100",583,2016-04-20
"8,100",223,2016-04-21
"8,100","1,660",2016-04-22
"8,100",60,2016-04-25
"8,100",25,2016-04-26
"8,000",54,2016-04-29
"8,000",36,2016-05-02
"8,000",63,2016-05-03
"8,000",39,2016-05-04
"8,000",51,2016-05-05
"7,935",98,2016-05-06
"7,850",9,2016-05-09
"7,850",47,2016-05-10
"7,700",88,2016-05-12
"7,520",120,2016-05-13
"7,500",234,2016-05-16
"7,600",219,2016-05-17
"7,600",60,2016-05-18
"7,500",72,2016-05-19
"7,500",82,2016-05-20
"7,400",70,2016-05-23
"7,300",75,2016-05-24
"7,290",10,2016-05-25
"7,290",44,2016-05-26
"7,600",15,2016-05-27
"7,780",143,2016-05-30
"7,650",88,2016-05-31
"7,700",36,2016-06-02
"7,700",106,2016-06-03
"7,800",26,2016-06-06
"7,990",339,2016-06-07
"8,100",275,2016-06-08
"8,000",62,2016-06-10
"8,000",73,2016-06-13
"8,000",49,2016-06-14
"7,880","1,049",2016-06-16
"8,000",160,2016-06-17
"8,000","1,098",2016-06-20
"8,050",109,2016-06-21
"8,100",223,2016-06-22
"8,360",79,2016-06-23
"8,360",16,2016-06-24
"8,350",54,2016-06-27
"8,160",137,2016-06-28
"8,360",275,2016-06-30
"8,360",72,2016-07-04
"8,200",30,2016-07-05
"8,160",16,2016-07-06
"8,260",77,2016-07-08
"8,250",54,2016-07-18
"8,300",184,2016-07-19
"8,300",31,2016-07-20
"8,255",34,2016-07-21
"8,300",503,2016-07-22
"8,255",20,2016-07-25
"8,340","1,100",2016-07-27
"8,300","1,524",2016-08-01
"8,490","1,014",2016-08-02
"8,360",30,2016-08-04
"8,495",5,2016-08-05
"8,360",490,2016-08-08
"8,350",69,2016-08-10
"8,300","3,877",2016-08-11
"8,495",14,2016-08-15
"8,255",12,2016-07-26
"8,250",18,2016-07-28
"8,340","1,123",2016-07-29
"8,500",175,2016-08-03
"8,450",4,2016-08-09
"8,300",50,2016-08-12
"8,495",14,2016-08-15
"8,495",451,2016-08-16
"8,300",170,2016-08-17
"8,500",136,2016-08-18
"8,250",144,2016-08-19
"8,300",66,2016-08-23
"8,320",59,2016-08-24
"8,320",18,2016-08-25
"8,350",354,2016-08-30
"8,400",50,2016-08-31
"8,405",57,2016-09-01
"8,650",32,2016-09-02
"8,960",185,2016-09-05
"8,540",406,2016-09-07
"8,540",46,2016-09-12
"8,600",122,2016-09-13
"8,460",98,2016-09-14
"8,600",434,2016-09-15
"8,500",136,2016-09-16
"8,600",72,2016-09-19
"8,600","1,000",2016-09-20
"8,790",414,2016-09-21
"8,790",470,2016-09-22
"9,820",273,2016-09-23
"10,170",443,2016-09-26
"11,260","1,267",2016-09-27
"12,460",991,2016-09-28
"10,900",130,2016-09-29
"9,800",147,2016-09-30
"9,500",1,2016-10-03
"9,450",115,2016-10-04
"9,000",5,2016-10-05
"9,600",138,2016-10-06
"8,655",464,2016-10-07
"8,580",54,2016-10-10
"8,800",284,2016-10-11
"8,800",5,2016-10-12
"8,800",90,2016-10-14
"8,600",81,2016-10-17
"8,570",53,2016-10-18
"8,700",50,2016-10-20
"8,710",175,2016-10-21
"8,800",151,2016-10-24
"8,800",33,2016-10-25
"8,750",40,2016-10-26
"8,895",42,2016-10-27
"8,800",18,2016-10-28
"8,895",598,2016-11-01
"8,800",444,2016-11-02
"9,100",373,2016-11-04
"9,100",137,2016-11-07
"9,000",201,2016-11-08
"9,300",159,2016-11-09
"8,800",77,2016-11-10
"8,800",92,2016-11-11
"9,275",213,2016-11-14
"8,945",36,2016-11-16
"9,500",673,2016-11-17
"9,500",48,2016-11-21
"10,300",73,2016-11-22
"9,550",116,2016-11-23
"10,770",446,2016-11-24
"10,000",217,2016-11-29
"10,390","1,651",2016-11-30
"10,400",120,2016-12-01
"10,500",100,2016-12-02
"10,850",475,2016-12-05
"11,000",541,2016-12-06
"10,850",129,2016-12-07
"10,800",724,2016-12-08
"10,490",422,2016-12-09
"10,340",12,2016-12-12
"10,350",85,2016-12-13
"10,100",46,2016-12-14
"10,000",420,2016-12-15
"10,000",64,2016-12-16
"10,250",420,2016-12-19
"10,000",38,2016-12-20
"9,950",74,2016-12-21
"9,950",384,2016-12-22
"10,000",285,2016-12-23
"10,000","1,115",2016-12-26
"10,290",103,2016-12-27
"10,300",189,2016-12-28
"9,950",529,2017-01-02
"9,610","1,021",2017-01-03
"9,950",73,2017-01-04
"9,950",86,2017-01-05
"10,000",325,2017-01-06
"10,250",19,2017-01-07
"10,250",25,2017-01-09
"10,300",221,2017-01-10
"10,350",68,2017-01-11
"10,350",330,2017-01-12
"10,300",504,2017-01-13
"10,350",168,2017-01-16
"10,300",185,2017-01-17
"10,100",108,2017-01-18
"10,490",123,2017-01-19
"11,400",261,2017-01-20
"11,000",69,2017-01-23
"11,000",109,2017-01-24
"11,000",409,2017-01-25
"11,000",344,2017-01-26
"11,140",895,2017-01-27
"11,150",535,2017-01-30
"10,940","1,537",2017-01-31
"10,600",244,2017-02-01
"10,580",163,2017-02-02
