2nd Column,6th Column,8th Column
215,"104,301",2019-02-19
215,"27,429",2019-02-20
211,"110,394",2019-02-21
207,"60,135",2019-02-22
204,"171,176",2019-02-25
203,"37,056",2019-02-26
203,"22,182",2019-02-27
200,"10,613",2019-02-28
200,"12,999",2019-03-01
201,"17,358",2019-03-04
200,"2,537",2019-03-05
192,"27,230",2019-03-06
195,"13,012",2019-03-07
190,897,2019-03-11
188,"40,477",2019-03-12
180,"6,081",2019-03-13
180,"30,142",2019-03-14
175,"93,564",2019-03-15
176,"48,731",2019-03-18
180,"27,387",2019-03-19
175,"31,525",2019-03-20
171,"14,398",2019-03-21
175,"46,938",2019-03-22
182,"28,879",2019-03-25
179,"30,474",2019-03-26
175,"5,131",2019-03-27
174,"42,797",2019-03-28
172,"15,407",2019-03-29
170,"16,957",2019-04-01
171,"141,002",2019-04-02
175,"92,784",2019-04-03
175,"12,539",2019-04-04
175,"28,996",2019-04-05
180,"44,006",2019-04-08
181,"94,248",2019-04-09
184,"20,994",2019-04-10
198,"23,384",2019-04-11
197,"8,323",2019-04-12
196,"26,001",2019-04-15
197,"27,074",2019-04-16
200,"141,864",2019-04-17
199,"22,126",2019-04-18
199,"12,461",2019-04-19
200,"12,500",2019-04-22
199,"23,779",2019-04-23
199,936,2019-04-24
200,"90,939",2019-04-25
200,"31,832",2019-04-26
205,"176,610",2019-04-29
205,"7,337",2019-04-30
200,"13,921",2019-05-01
200,"4,424,658",2019-05-01
199,"30,869",2019-05-02
198,"29,664",2019-05-03
198,"41,142",2019-05-06
197,"40,773",2019-05-07
197,"23,295",2019-05-08
198,"1,200",2019-05-09
198,"17,313",2019-05-10
197,"7,250",2019-05-13
197,"12,534",2019-05-14
197,"21,623",2019-05-15
197,"2,520",2019-05-16
190,"11,780",2019-05-17
188,"2,474",2019-05-20
184,"9,378",2019-05-21
180,"9,452",2019-05-22
180,125,2019-05-23
189,831,2019-05-24
180,172,2019-05-27
178,"9,440",2019-05-28
178,"10,000",2019-05-29
176,"46,504",2019-05-30
175,"2,460",2019-05-31
173,"74,448",2019-06-03
164,"6,518",2019-06-04
163,"6,885",2019-06-05
163,"16,854",2019-06-06
160,"7,346",2019-06-07
163,"1,122",2019-06-10
163,429,2019-06-11
164,"44,706",2019-06-12
162,"3,730",2019-06-13
163,"18,148",2019-06-14
163,"15,146",2019-06-17
176,"11,175",2019-06-18
185,"18,443",2019-06-19
183,"5,333",2019-06-20
189,"52,658",2019-06-21
188,"94,039",2019-06-24
189,"46,638",2019-06-25
191,"71,123",2019-06-26
192,"62,199",2019-06-27
192,"49,448",2019-06-28
188,"1,977",2019-07-01
185,"3,247",2019-07-02
184,"1,100",2019-07-03
189,"27,651",2019-07-04
185,"18,000",2019-07-05
182,"10,655",2019-07-08
183,"4,511",2019-07-09
183,635,2019-07-10
185,"1,080",2019-07-16
182,"3,155",2019-07-17
180,"4,755",2019-07-18
181,"11,263",2019-07-19
179,"11,095",2019-07-22
180,"2,502",2019-07-23
180,"15,000",2019-07-24
180,"29,575",2019-07-25
176,"6,000",2019-07-26
177,"1,240",2019-07-29
177,"11,537",2019-07-30
180,"12,647",2019-07-31
180,"1,982",2019-08-01
180,"5,050",2019-08-02
180,"1,000",2019-08-05
