2nd Column,6th Column,8th Column
73,"1,692,822",2019-05-20
72,"1,716,514",2019-05-21
72,"132,693",2019-05-22
71,"503,200",2019-05-23
70,"350,092",2019-05-24
72,"168,436",2019-05-27
72,"374,995",2019-05-28
72,"5,309",2019-05-29
72,"180,993",2019-05-30
72,"90,681",2019-05-31
72,"119,513",2019-06-03
72,"596,460",2019-06-04
72,"361,552",2019-06-05
72,"139,302",2019-06-06
72,"56,545",2019-06-07
72,"31,961",2019-06-10
72,"304,828",2019-06-11
72,"141,160",2019-06-12
72,"248,203",2019-06-13
72,"105,784",2019-06-14
72,"425,258",2019-06-17
72,"200,896",2019-06-18
72,"97,097",2019-06-19
72,"448,076",2019-06-20
72,"12,680",2019-06-21
72,"402,065",2019-06-24
72,"88,841",2019-06-25
72,"167,767",2019-06-26
72,"96,299",2019-06-27
71,"125,731",2019-06-28
72,"22,300",2019-07-01
72,"45,002",2019-07-02
72,"32,498",2019-07-03
71,"47,501",2019-07-04
71,"16,632",2019-07-05
72,"161,799",2019-07-08
72,"146,030",2019-07-09
72,500,2019-07-10
72,"73,835",2019-07-16
72,"6,624",2019-07-17
72,"9,413",2019-07-18
72,"1,000",2019-07-19
72,"115,448",2019-07-22
72,"107,499",2019-07-23
70,"105,819",2019-07-24
70,"9,942",2019-07-25
70,"32,252",2019-07-29
67,"14,355",2019-07-30
70,"41,832",2019-07-31
70,"7,400",2019-08-01
70,"51,081",2019-08-02
66,"37,157",2019-08-05
65,"8,377",2019-08-06
65,"33,503",2019-08-07
66,"38,184",2019-08-09
70,"3,809",2019-08-12
68,"7,712",2019-08-13
67,5,2019-08-14
67,"32,021",2019-08-15
67,10,2019-08-16
67,296,2019-08-19
67,"19,319",2019-08-20
67,"66,000",2019-08-21
68,"1,441",2019-08-22
68,1,2019-08-23
68,"96,775",2019-08-26
69,"18,667",2019-08-27
69,"5,001",2019-08-28
69,"10,424",2019-08-29
69,"78,799",2019-08-30
69,"6,854",2019-09-02
69,"22,800",2019-09-04
68,"39,038",2019-09-05
65,"1,150",2019-09-07
65,"1,150",2019-09-07
68,"6,195",2019-09-09
68,600,2019-09-10
66,"117,885",2019-09-11
66,1,2019-09-12
66,"19,332",2019-09-13
66,374,2019-09-16
66,571,2019-09-17
65,"15,953",2019-09-18
60,"3,700",2019-09-19
62,"1,052",2019-09-20
62,"25,748",2019-09-23
60,200,2019-09-24
58,"12,317",2019-09-25
60,"9,477",2019-09-26
60,"1,480",2019-09-27
60,"11,871",2019-09-30
60,"66,034",2019-10-01
60,"14,121",2019-10-02
60,603,2019-10-03
60,"94,025",2019-10-04
59,"82,616",2019-10-07
60,"29,776",2019-10-08
62,"72,212",2019-10-09
64,"18,531",2019-10-10
65,"3,775",2019-10-11
65,"39,673",2019-10-14
65,"75,791",2019-10-15
65,376,2019-10-16
66,"106,590",2019-10-17
68,"5,500",2019-10-18
68,"42,107",2019-10-21
67,"26,237",2019-10-22
67,"10,700",2019-10-23
67,"30,788",2019-10-24
67,"13,150",2019-10-25
68,"5,826",2019-10-28
68,"70,286",2019-10-29
67,"54,849",2019-10-30
67,"1,602",2019-10-31
67,701,2019-11-01
67,"20,891",2019-11-04
67,"29,341",2019-11-05
67,"13,490",2019-11-06
67,"34,402",2019-11-07
67,"110,073",2019-11-08
67,"61,979",2019-11-11
68,"86,385",2019-11-12
68,"23,064",2019-11-13
68,"16,202",2019-11-14
68,"70,211",2019-11-18
68,"22,071",2019-11-19
68,"66,724",2019-11-20
68,200,2019-11-21
70,"362,228",2019-11-22
70,"16,151",2019-11-25
70,"36,142",2019-11-28
70,"141,140",2019-11-29
70,"5,800",2019-12-02
70,"34,026",2019-12-03
71,"26,000",2019-12-04
71,"34,632",2019-12-05
71,"23,090",2019-12-06
71,"58,817",2019-12-09
70,"12,587",2019-12-10
70,111,2019-12-11
70,"22,619",2019-12-12
71,"76,767",2019-12-13
71,"145,524",2019-12-16
71,"29,343",2019-12-17
71,"46,668",2019-12-18
70,"38,501",2019-12-19
70,"20,291",2019-12-20
70,"33,742",2019-12-23
70,"12,853",2019-12-24
70,"3,661",2019-12-25
70,"46,706",2019-12-26
70,"7,202",2019-12-27
70,"7,348",2019-12-30
70,100,2019-12-31
70,"1,409",2020-01-02
70,"1,220",2020-01-03
70,"1,701",2020-01-06
70,"23,192",2020-01-07
70,"16,032",2020-01-08
70,"28,849",2020-01-09
70,"2,361",2020-01-10
70,"76,750",2020-01-13
70,"142,960",2020-01-14
70,300,2020-01-15
70,"58,110",2020-01-16
70,"29,382",2020-01-17
70,"89,543",2020-01-20
72,"72,410",2020-01-22
72,"8,699",2020-01-23
70,179,2020-01-24
71,"14,603",2020-01-27
71,50,2020-01-28
72,"3,075",2020-01-29
72,650,2020-01-30
72,101,2020-01-31
75,"6,674",2020-02-03
75,60,2020-02-04
73,"2,015",2020-02-05
74,"37,313",2020-02-06
75,587,2020-02-07
74,"1,079",2020-02-10
74,877,2020-02-11
74,"76,941",2020-02-12
74,20,2020-02-13
74,"2,794",2020-02-14
74,71,2020-02-17
74,"8,771",2020-02-18
74,50,2020-02-19
73,"1,073",2020-02-20
73,837,2020-02-21
73,"1,950",2020-02-27
74,"167,556",2020-02-28
74,830,2020-03-02
73,"20,980",2020-03-03
71,"5,337",2020-03-04
71,"8,666",2020-03-05
71,1,2020-03-06
71,"27,837",2020-03-09
71,"62,293",2020-03-10
71,"93,218",2020-03-11
71,101,2020-03-12
71,"7,123",2020-03-16
71,"12,208",2020-03-17
71,600,2020-03-18
71,"2,800",2020-03-19
71,"72,571",2020-03-20
69,"1,013",2020-03-23
70,"12,964",2020-03-24
70,"37,920",2020-03-25
69,"47,779",2020-03-26
70,"188,826",2020-03-27
70,"27,586",2020-03-30
70,"11,632",2020-03-31
70,"18,100",2020-04-01
70,"74,533",2020-04-02
70,"142,234",2020-04-03
70,"3,996",2020-04-06
70,"6,393",2020-04-07
70,"1,300",2020-04-08
68,"20,740",2020-04-09
69,"20,850",2020-04-10
69,"33,103",2020-04-13
69,"11,451",2020-04-14
69,"155,100",2020-04-15
68,"8,057",2020-04-17
68,"9,307",2020-04-20
69,"20,491",2020-04-21
69,"4,103",2020-04-24
69,"56,128",2020-04-27
68,"54,360",2020-04-28
69,"34,735",2020-04-29
69,"15,735",2020-04-30
69,800,2020-05-01
68,"10,330",2020-05-04
68,"4,250",2020-05-05
68,"38,956",2020-05-06
65,"11,368",2020-05-07
83,"10,000,000",2020-05-07
67,"9,409",2020-05-08
67,"20,941",2020-05-11
67,"7,270",2020-05-13
67,"2,800",2020-05-14
67,"5,361",2020-05-15
67,29,2020-05-18
67,"39,711",2020-05-19
67,"17,458",2020-05-20
66,"30,500",2020-05-21
66,"14,545",2020-05-22
66,"14,955",2020-05-25
67,"229,319",2020-05-26
83,"4,285,715",2020-05-28
66,"3,975",2020-05-29
66,"40,100",2020-06-02
66,"41,631",2020-06-03
66,"24,340",2020-06-04
66,"18,819",2020-06-08
69,"89,916",2020-06-09
68,"6,600",2020-06-10
65,"1,000",2020-06-11
68,"15,575",2020-06-12
66,"12,657",2020-06-15
65,"7,000",2020-06-16
66,"4,317",2020-06-17
66,"3,275",2020-06-22
65,"4,480",2020-06-23
65,"11,024",2020-06-26
65,4,2020-06-29
65,2,2020-06-30
65,"9,826",2020-07-02
64,783,2020-07-03
64,"6,945",2020-07-06
64,200,2020-07-07
64,10,2020-07-08
64,"7,956",2020-07-09
64,80,2020-07-10
64,807,2020-07-16
63,"1,000",2020-07-17
63,"6,022",2020-07-20
