2nd Column,6th Column,8th Column
775,"155,001",2018-10-01
796,"159,690",2018-10-02
820,"171,168",2018-10-03
903,"135,939",2018-10-04
920,"163,921",2018-10-05
910,"80,726",2018-10-08
902,"73,494",2018-10-09
865,"109,152",2018-10-10
869,"73,923",2018-10-11
850,"31,072",2018-10-12
850,"35,621",2018-10-15
839,"71,728",2018-10-16
819,"56,643",2018-10-17
805,"49,889",2018-10-18
795,"25,700",2018-10-19
795,"50,500",2018-10-22
798,"26,915",2018-10-23
795,"87,832",2018-10-24
799,"33,128",2018-10-25
800,"29,991",2018-10-26
800,"55,061",2018-10-29
770,"39,260",2018-10-30
770,"55,546",2018-10-31
750,"49,673",2018-11-01
760,"23,765",2018-11-02
775,"24,754",2018-11-05
780,"13,052",2018-11-06
780,"9,477",2018-11-07
740,1,2018-11-12
760,"22,192",2018-11-13
742,"12,235",2018-11-14
749,"5,322",2018-11-15
750,"2,199",2018-11-16
760,"2,882",2018-11-19
762,"7,847",2018-11-20
749,"4,322",2018-11-21
750,"19,703",2018-11-22
749,"6,819",2018-11-23
749,"25,642",2018-11-27
748,"38,244",2018-11-28
750,"80,010",2018-11-17
745,"19,633",2018-11-29
800,"67,464",2018-11-30
799,"29,432",2018-12-03
799,"29,432",2018-12-03
760,"189,615",2018-12-04
755,"37,257",2018-12-05
750,"32,759",2018-12-06
760,"38,083",2018-12-07
775,"57,615",2018-12-10
750,"57,080",2018-12-11
750,"73,321",2018-12-12
760,"56,957",2018-12-13
769,"56,199",2018-12-14
759,"29,652",2018-12-17
750,"40,033",2018-12-18
750,"44,260",2018-12-19
740,"39,901",2018-12-20
730,"6,110",2018-12-21
745,"12,843",2018-12-24
739,"42,254",2018-12-25
738,"22,489",2018-12-26
740,"24,292",2018-12-27
755,"91,271",2018-12-28
770,"66,030",2018-12-31
750,"12,901",2019-01-02
745,409,2019-01-04
735,"14,031",2019-01-07
734,"4,794",2019-01-08
733,"8,219",2019-01-09
734,"27,594",2019-01-11
720,"3,960",2019-01-14
734,"12,192",2019-01-15
710,"1,903",2019-01-16
736,"7,409",2019-01-17
740,"2,104",2019-01-18
730,"1,526",2019-01-21
740,"23,030",2019-01-22
720,549,2019-01-23
706,"2,937",2019-01-24
706,"15,086",2019-01-25
710,"2,151",2019-01-28
710,"10,831",2019-01-29
710,462,2019-01-30
702,"6,319",2019-01-31
710,"1,785",2019-02-01
710,"9,208",2019-02-02
710,"9,938",2019-02-04
705,"4,000",2019-02-12
715,"1,153",2019-02-13
701,"5,831",2019-02-14
700,"48,580",2019-02-15
719,"45,843",2019-02-18
734,"5,202",2019-02-19
710,"2,426",2019-02-20
710,87,2019-02-21
705,"1,175",2019-02-22
710,"17,457",2019-02-25
710,"60,639",2019-02-26
708,"48,293",2019-02-27
700,"42,221",2019-02-28
700,"41,106",2019-03-01
699,"94,087",2019-03-04
699,"39,896",2019-03-05
698,"43,383",2019-03-06
697,"42,361",2019-03-07
695,"40,231",2019-03-11
698,"67,813",2019-03-12
695,"75,202",2019-03-13
694,"72,019",2019-03-14
694,"36,581",2019-03-15
690,"33,823",2019-03-18
694,"58,333",2019-03-19
693,"2,200",2019-03-20
692,"23,912",2019-03-21
694,"3,970",2019-03-22
690,"18,477",2019-03-25
689,200,2019-03-26
689,455,2019-03-28
689,430,2019-03-29
685,100,2019-04-01
678,"1,274",2019-04-02
670,"2,720",2019-04-03
670,53,2019-04-04
679,"1,130",2019-04-05
650,"3,011",2019-04-09
639,"6,511",2019-04-10
679,"9,000",2019-04-11
669,886,2019-04-12
678,"7,385",2019-04-15
670,"2,175",2019-04-16
670,666,2019-04-17
677,"8,280",2019-04-18
679,"2,932",2019-04-19
669,38,2019-04-22
685,"14,018",2019-04-23
685,"5,321",2019-04-24
689,"49,913",2019-04-25
715,"41,421",2019-04-26
689,10,2019-04-29
686,816,2019-04-30
680,412,2019-05-01
684,137,2019-05-03
655,252,2019-05-06
684,"29,260",2019-05-07
679,"34,287",2019-05-08
679,"9,399",2019-05-09
660,100,2019-05-10
640,"1,055",2019-05-13
670,71,2019-05-14
670,379,2019-05-15
670,220,2019-05-16
669,"1,250",2019-05-17
664,"4,629",2019-05-20
659,"1,901",2019-05-22
658,61,2019-05-23
662,"7,177",2019-05-24
640,"4,809",2019-05-27
640,10,2019-05-28
635,"1,074",2019-05-29
630,10,2019-05-30
630,"1,810",2019-05-31
630,149,2019-06-04
630,"8,519",2019-06-05
640,"1,392",2019-06-06
611,"4,000",2019-06-07
620,10,2019-06-10
620,"6,600",2019-06-11
610,"1,010",2019-06-12
609,"9,673",2019-06-13
620,"27,848",2019-06-14
640,"29,168",2019-06-17
668,"19,695",2019-06-18
670,"66,788",2019-06-19
660,"52,716",2019-06-20
670,"31,872",2019-06-21
685,"53,481",2019-06-24
697,"33,781",2019-06-25
710,"195,049",2019-06-26
730,"56,990",2019-06-27
770,"124,482",2019-06-28
720,"5,751",2019-07-01
748,"1,980",2019-07-02
745,"8,031",2019-07-03
748,"4,993",2019-07-04
748,975,2019-07-05
748,110,2019-07-08
741,103,2019-07-09
740,"1,532",2019-07-10
740,"1,027",2019-07-16
737,"1,411",2019-07-17
715,"4,433",2019-07-22
713,7,2019-07-23
710,355,2019-07-24
709,122,2019-07-26
709,450,2019-07-29
709,150,2019-07-30
707,1,2019-08-05
700,20,2019-08-06
700,"3,309",2019-08-07
710,"4,328",2019-08-08
705,198,2019-08-09
711,"1,401",2019-08-12
710,"3,018",2019-08-13
689,"1,509",2019-08-14
680,"1,273",2019-08-15
704,"1,000",2019-08-16
690,"2,062",2019-08-26
680,400,2019-08-27
679,"1,583",2019-08-28
679,"1,195",2019-08-29
679,14,2019-08-30
680,134,2019-09-02
705,"3,449",2019-09-05
709,"6,341",2019-09-10
705,633,2019-09-11
720,"3,218",2019-09-12
717,74,2019-09-13
718,"2,443",2019-09-16
715,"3,148",2019-09-17
713,"3,050",2019-09-18
713,"4,724",2019-09-23
710,"1,200",2019-09-24
713,"18,433",2019-09-25
711,"1,722",2019-09-26
714,"16,766",2019-09-27
745,"12,630",2019-09-30
714,461,2019-10-01
712,415,2019-10-02
711,163,2019-10-03
711,16,2019-10-04
705,47,2019-10-07
704,61,2019-10-09
703,100,2019-10-10
704,227,2019-10-11
703,567,2019-10-14
702,"5,050",2019-10-15
703,903,2019-10-16
710,"1,050",2019-10-17
715,"6,690",2019-10-18
715,"3,000",2019-10-21
712,"339,985",2019-10-22
700,"4,278",2019-10-23
713,"12,900",2019-10-25
715,"3,853",2019-10-28
710,80,2019-10-29
716,"15,079",2019-10-30
719,"11,827",2019-10-31
750,"22,813",2019-11-01
740,"2,977",2019-11-04
748,"4,417",2019-11-05
748,"4,979",2019-11-06
740,"4,286",2019-11-07
740,"7,214",2019-11-08
745,"7,980",2019-11-11
763,"6,532",2019-11-12
750,"1,875",2019-11-13
745,"1,000",2019-11-14
745,"3,943",2019-11-15
743,"9,626",2019-11-18
739,250,2019-11-19
739,"3,213",2019-11-20
740,"25,197",2019-11-21
740,"9,120",2019-11-22
728,"1,596",2019-11-25
722,"2,989",2019-11-28
730,"31,634",2019-11-29
728,"3,020",2019-12-03
725,124,2019-12-04
729,"2,235",2019-12-05
720,957,2019-12-09
720,"1,000",2019-12-10
719,520,2019-12-11
719,"1,475",2019-12-12
710,657,2019-12-13
720,"5,180",2019-12-16
733,"16,740",2019-12-17
715,561,2019-12-19
730,"18,291",2019-12-20
725,100,2019-12-23
730,"83,079",2019-12-24
730,"9,062",2019-12-25
769,"52,682",2019-12-26
780,"24,823",2019-12-27
780,"32,908",2019-12-30
800,"46,110",2019-12-31
798,22,2020-01-02
795,"5,690",2020-01-03
790,1,2020-01-06
745,"10,833",2020-01-07
745,151,2020-01-08
744,"3,717",2020-01-09
740,20,2020-01-10
712,320,2020-01-13
740,"5,318",2020-01-14
740,"3,055",2020-01-15
740,5,2020-01-17
740,6,2020-01-20
720,120,2020-01-21
740,"3,499",2020-01-22
740,"1,989",2020-01-23
738,"3,016",2020-01-24
738,1,2020-01-27
730,"3,623",2020-01-28
730,50,2020-01-29
730,107,2020-01-30
730,10,2020-01-31
730,41,2020-02-05
730,42,2020-02-07
730,200,2020-02-10
710,"1,813",2020-02-11
709,"1,529",2020-02-12
701,92,2020-02-14
705,"1,537",2020-02-18
710,790,2020-02-19
705,576,2020-02-21
710,"1,994",2020-02-27
705,86,2020-03-04
705,30,2020-03-05
705,49,2020-03-06
705,"9,571",2020-03-10
704,"15,337",2020-03-11
703,"14,546",2020-03-12
703,"3,579",2020-03-13
702,936,2020-03-16
701,5,2020-03-17
700,110,2020-03-18
701,325,2020-03-19
704,"4,418",2020-03-20
700,99,2020-03-23
702,50,2020-03-24
703,217,2020-03-25
735,"9,467",2020-03-26
738,"16,680",2020-03-27
720,"3,520",2020-03-31
700,"1,921",2020-04-01
700,32,2020-04-02
718,"5,311",2020-04-03
719,105,2020-04-06
719,"2,145",2020-04-07
720,8,2020-04-08
719,10,2020-04-09
720,821,2020-04-10
720,"9,878",2020-04-13
718,"11,654",2020-04-14
718,"9,389",2020-04-15
710,"7,730",2020-04-16
700,"11,607",2020-04-17
700,"5,012",2020-04-20
700,"3,123",2020-04-21
689,"9,155",2020-04-22
716,"12,076",2020-04-23
715,25,2020-04-24
700,"5,297",2020-04-27
710,"40,387",2020-04-28
710,"8,937",2020-04-29
710,764,2020-05-01
710,"11,327",2020-05-04
710,"20,710",2020-05-05
708,32,2020-05-06
708,"2,595",2020-05-07
708,24,2020-05-08
708,11,2020-05-11
708,8,2020-05-12
708,12,2020-05-13
707,3,2020-05-14
707,4,2020-05-15
707,10,2020-05-18
705,13,2020-05-19
705,3,2020-05-20
700,13,2020-05-21
700,28,2020-05-22
700,2,2020-05-25
699,54,2020-05-26
706,"1,218",2020-05-27
706,13,2020-05-28
707,"1,032",2020-05-29
707,286,2020-06-02
705,"4,573",2020-06-03
705,"4,327",2020-06-04
705,"1,444",2020-06-08
700,294,2020-06-09
705,"2,142",2020-06-10
706,366,2020-06-11
705,12,2020-06-12
705,"3,965",2020-06-15
705,3,2020-06-16
705,"2,163",2020-06-17
705,"498,008",2020-06-18
705,164,2020-06-19
700,6,2020-06-22
690,34,2020-06-23
690,3,2020-06-25
689,6,2020-06-26
690,896,2020-06-29
705,"1,780",2020-06-30
705,6,2020-07-01
700,8,2020-07-02
700,6,2020-07-03
700,8,2020-07-06
671,"4,478",2020-07-07
680,10,2020-07-10
705,"2,140",2020-07-16
750,"1,659",2020-07-17
745,6,2020-07-20
739,303,2020-07-21
715,4,2020-07-22
715,"1,010",2020-07-23
715,10,2020-07-24
715,50,2020-07-27
715,"33,594",2020-07-28
713,3,2020-07-29
714,3,2020-07-30
710,5,2020-07-31
715,4,2020-08-03
710,268,2020-08-04
710,3,2020-08-05
709,6,2020-08-06
709,4,2020-08-07
709,248,2020-08-10
707,"1,511",2020-08-11
703,100,2020-08-12
702,6,2020-08-13
700,753,2020-08-14
703,305,2020-08-17
703,95,2020-08-18
703,572,2020-08-19
700,3,2020-08-20
703,73,2020-08-21
703,3,2020-08-24
702,349,2020-08-25
702,53,2020-08-26
741,"48,682",2020-08-27
741,"8,261",2020-08-28
730,10,2020-08-31
730,100,2020-09-01
729,3,2020-09-02
728,492,2020-09-03
700,7,2020-09-04
715,199,2020-09-07
710,20,2020-09-08
714,102,2020-09-09
700,276,2020-09-10
710,2,2020-09-11
710,"2,463",2020-09-14
700,679,2020-09-15
705,"1,413",2020-09-16
705,757,2020-09-17
705,408,2020-09-18
705,"1,737",2020-09-21
720,"7,111",2020-09-22
719,"1,003",2020-09-23
700,"1,000",2020-09-24
720,"3,161",2020-09-25
719,896,2020-09-28
713,"1,416",2020-09-29
713,"3,181",2020-09-30
714,168,2020-10-01
712,3,2020-10-02
700,2,2020-10-05
700,71,2020-10-06
712,"12,047",2020-10-07
710,345,2020-10-08
710,997,2020-10-09
709,85,2020-10-12
709,206,2020-10-13
705,13,2020-10-14
709,21,2020-10-16
709,152,2020-10-19
709,47,2020-10-20
709,2,2020-10-21
700,110,2020-10-22
700,"2,583",2020-10-23
700,235,2020-10-26
700,27,2020-10-27
700,4,2020-10-28
700,4,2020-10-29
700,"38,303",2020-10-30
712,"1,304",2020-11-02
715,"4,125",2020-11-03
715,"4,040",2020-11-04
719,"1,027",2020-11-05
722,"25,400",2020-11-06
750,"4,923",2020-11-09
760,"249,921",2020-11-10
740,"5,936",2020-11-11
710,61,2020-11-12
710,"1,340",2020-11-13
710,265,2020-11-17
710,110,2020-11-18
702,"11,454",2020-11-19
710,10,2020-11-20
710,113,2020-11-23
710,142,2020-11-24
710,4,2020-11-25
710,10,2020-11-27
705,438,2020-11-30
705,966,2020-12-01
705,20,2020-12-02
705,"1,722",2020-12-03
705,230,2020-12-04
705,266,2020-12-07
705,115,2020-12-08
705,10,2020-12-09
705,308,2020-12-10
700,35,2020-12-11
705,612,2020-12-14
720,"4,886",2020-12-15
701,"4,000",2020-12-16
720,31,2020-12-17
735,"13,171",2020-12-18
740,"4,216",2020-12-21
750,"6,647",2020-12-22
740,265,2020-12-23
745,"10,207",2020-12-24
744,"164,359",2020-12-25
750,"38,420",2020-12-28
760,"30,034",2020-12-30
800,"33,637",2020-12-31
785,748,2021-01-04
759,170,2021-01-05
764,260,2021-01-06
750,"2,206",2021-01-07
763,"1,736",2021-01-08
760,"2,120",2021-01-11
750,656,2021-01-12
750,"53,180",2021-01-13
745,443,2021-01-14
750,"2,417",2021-01-15
785,"19,170",2021-01-18
810,"4,800",2021-01-19
809,"3,185",2021-01-20
850,"29,414",2021-01-21
850,"23,153",2021-01-22
878,"8,298",2021-01-25
850,974,2021-01-26
840,"1,762",2021-01-27
839,"2,894",2021-01-28
850,"5,082",2021-01-29
870,"4,279",2021-02-01
870,"1,805",2021-02-02
865,570,2021-02-03
871,"1,127,800",2021-02-04
871,"2,676",2021-02-05
871,"18,357",2021-02-08
871,"569,084",2021-02-09
900,"603,858",2021-02-10
940,"180,519",2021-02-11
965,"1,207,985",2021-02-15
"1,100","56,477",2021-02-16
"1,204","31,868",2021-02-17
"1,315","40,579",2021-02-18
"1,511","64,711",2021-02-19
"1,590","108,941",2021-02-22
"1,590","28,764",2021-02-23
"1,590","39,841",2021-02-24
"1,559","41,672",2021-02-25
"1,500","51,408",2021-02-26
"1,400","70,837",2021-03-01
"1,410","76,566",2021-03-02
"1,460","68,882",2021-03-03
"1,430","51,518",2021-03-04
"1,427","55,653",2021-03-05
"1,440","15,348",2021-03-09
"1,435","27,541",2021-03-10
"1,447","14,424",2021-03-11
"1,450","63,004",2021-03-12
"1,498","45,980",2021-03-15
"1,500","21,592",2021-03-16
"1,470","4,186",2021-03-17
"1,466","5,970",2021-03-18
"1,464","128,369",2021-03-19
"1,470","406,044",2021-03-22
"1,480","5,880",2021-03-23
"1,450","57,700",2021-03-24
"1,470","2,955",2021-03-25
"1,435","5,924",2021-03-26
"1,429","1,087",2021-03-29
"1,435","19,732",2021-03-30
"1,456","16,015",2021-03-31
"1,431","6,835",2021-04-01
"1,410","6,732",2021-04-02
"1,400","7,582",2021-04-05
"1,399","21,177",2021-04-06
"1,390","14,632",2021-04-07
"1,390","14,632",2021-04-07
"1,374","10,949",2021-04-08
"1,400","9,170",2021-04-09
"1,400","7,405",2021-04-12
"1,395","11,475",2021-04-13
"1,390","12,226",2021-04-14
"1,388","42,993",2021-04-15
"1,460","23,959",2021-04-16
"1,647","62,640",2021-04-19
"1,800","31,365",2021-04-20
"1,780","380,001",2021-04-21
"1,768","532,611",2021-04-22
"1,729","233,578",2021-04-23
"1,725","20,822",2021-04-26
"1,540","228,998",2021-04-27
"1,530","24,644",2021-04-28
"1,530","15,141",2021-04-29
"1,510","4,902",2021-04-30
"1,519","121,302",2021-05-03
"1,510","31,102",2021-05-04
"1,500","40,945",2021-05-05
"1,500","49,613",2021-05-06
"1,500","9,214",2021-05-07
"1,500","6,789",2021-05-10
"1,490","19,461",2021-05-11
"1,489",632,2021-05-12
"1,480","3,668",2021-05-13
"1,460",415,2021-05-14
"1,462","6,013",2021-05-17
"1,460","4,360",2021-05-18
"1,428","9,545",2021-05-19
"1,430","10,953",2021-05-20
"1,420","4,529",2021-05-21
"1,420","17,783",2021-05-24
"1,386","7,152",2021-05-25
"1,380","7,626",2021-05-27
"1,383","11,443",2021-05-28
"1,340","7,480",2021-05-31
"1,374","35,901",2021-06-02
"1,338","1,540",2021-06-03
"1,330","11,275",2021-06-04
"1,300","8,526",2021-06-07
"1,275","4,641",2021-06-08
"1,273","1,671",2021-06-10
"1,257","1,794",2021-06-11
"1,248","2,472",2021-06-14
"1,198","5,434",2021-06-15
"1,187","6,044",2021-06-16
"1,185","9,369",2021-06-17
"1,110","6,697",2021-06-18
"1,168","3,542",2021-06-21
"1,190","27,693",2021-06-22
"1,149","3,173",2021-06-23
"1,190","8,499",2021-06-24
"1,270","8,726",2021-06-25
"1,395","3,424",2021-06-28
"1,438","6,314",2021-06-29
"1,492","40,141",2021-06-30
"1,395","4,549",2021-07-01
"1,384",173,2021-07-02
"1,380",877,2021-07-05
"1,375","1,674",2021-07-06
"1,368","45,966",2021-07-07
"1,370","4,696",2021-07-08
"1,370","4,954",2021-07-09
"1,330","1,285",2021-07-19
"1,254",262,2021-07-20
"1,297","4,066",2021-07-21
"1,323","2,387",2021-07-22
"1,370","10,557",2021-07-23
"1,370","10,551",2021-07-24
"1,368","1,520",2021-07-26
"1,368",424,2021-07-27
"1,337","3,264",2021-07-28
"1,338","1,125",2021-07-29
"1,299","3,603",2021-07-30
"1,288","7,839",2021-08-02
"1,277","6,704",2021-08-03
"1,259","1,514",2021-08-04
"1,258","3,018",2021-08-05
"1,240","7,036",2021-08-06
"1,353","3,610",2021-08-09
"1,349",302,2021-08-10
"1,300","5,314",2021-08-11
"1,280","1,757",2021-08-12
"1,300","1,403",2021-08-13
"1,299","2,867",2021-08-16
"1,290","3,951",2021-08-17
"1,250","4,793",2021-08-18
"1,230","6,309",2021-08-19
"1,300","9,446",2021-08-20
"1,285","1,301",2021-08-23
"1,344","7,939",2021-08-24
"1,478","15,866",2021-08-25
"1,630","10,425",2021-08-26
"1,525","8,533",2021-08-27
"1,500","2,462",2021-08-30
"1,438","5,531",2021-08-31
"1,400","2,465",2021-09-01
"1,450","4,731",2021-09-02
"1,512","5,903",2021-09-03
"1,519","7,935",2021-09-06
"1,550","15,674",2021-09-07
"1,596","8,434",2021-09-08
"1,629","17,471",2021-09-09
"1,701","8,089",2021-09-10
"1,750","15,066",2021-09-13
"1,720","12,034",2021-09-14
"1,650","6,855",2021-09-15
"1,639","3,021",2021-09-16
"1,610","2,957",2021-09-17
"1,610",772,2021-09-20
"1,638","2,407",2021-09-21
"1,630",494,2021-09-22
"1,630","2,032",2021-09-23
"1,640","2,551",2021-09-24
"1,630",798,2021-09-27
"1,620","5,735",2021-09-28
"1,629","5,183",2021-09-29
"1,616",639,2021-09-30
"1,627","1,790",2021-10-01
"1,600","10,278",2021-10-04
"1,596","2,489",2021-10-05
"1,579","4,200",2021-10-06
"1,499","5,880",2021-10-07
"1,438","6,959",2021-10-08
"1,392","2,562",2021-10-11
"1,388","2,580",2021-10-12
"1,397",993,2021-10-13
"1,390","3,245",2021-10-14
"1,390","1,951",2021-10-15
"1,380","10,264",2021-10-18
"1,378","4,203",2021-10-19
"1,378","2,835",2021-10-20
"1,377","1,722",2021-10-21
"1,380","5,975",2021-10-22
"1,395","6,596",2021-10-25
"1,395","1,166",2021-10-26
"1,390","2,987",2021-10-27
"1,399","5,139",2021-10-28
"1,390","1,243",2021-10-29
"1,385",460,2021-11-01
"1,385","2,963",2021-11-02
"1,384",221,2021-11-03
"1,350","3,823",2021-11-04
"1,350","1,852",2021-11-08
"1,346","1,364",2021-11-09
"1,346","1,632",2021-11-10
"1,346","2,038",2021-11-11
"1,350","2,560",2021-11-12
"1,380","2,744",2021-11-15
"1,400","4,088",2021-11-16
"1,390","1,445",2021-11-17
"1,388",861,2021-11-18
"1,380","1,515",2021-11-19
"1,379","2,367",2021-11-22
"1,380","6,691",2021-11-23
"1,379","5,548",2021-11-24
"1,350",626,2021-11-25
"1,349","1,313",2021-11-29
"1,347","4,462",2021-11-30
"1,340","3,436",2021-12-01
"1,331","6,886",2021-12-02
"1,320","21,205",2021-12-03
"1,331","19,078",2021-12-06
"1,347","21,554",2021-12-07
"1,347","12,150",2021-12-08
"1,345","14,445",2021-12-09
"1,346","4,284",2021-12-10
"1,344","11,395",2021-12-13
"1,330","16,472",2021-12-14
"1,350","2,489",2021-12-15
"1,358",708,2021-12-16
"1,350","1,902",2021-12-17
"1,380","3,793",2021-12-20
"1,394","6,353",2021-12-21
"1,380","6,698",2021-12-22
"1,370","44,360",2021-12-23
"1,369","6,612",2021-12-24
"1,367","7,590",2021-12-27
"1,359","4,932",2021-12-28
"1,348","9,434",2021-12-30
"1,339","24,622",2021-12-31
"1,330","6,455",2022-01-03
"1,345","3,063",2022-01-04
"1,350","12,690",2022-01-05
"1,350","2,034",2022-01-06
"1,339","2,910",2022-01-07
"1,335","9,847",2022-01-10
"1,334","2,751",2022-01-11
"1,335","2,986",2022-01-12
"1,340",790,2022-01-13
"1,340","62,386",2022-01-14
"1,298","44,335",2022-01-17
"1,257",832,2022-01-18
"1,278","8,314",2022-01-19
"1,240","1,657",2022-01-20
"1,240","10,584",2022-01-21
"1,239",560,2022-01-24
"1,233","18,643",2022-01-25
"1,231","2,060",2022-01-26
"1,225","6,820",2022-01-27
"1,150","9,127",2022-01-28
"1,148","3,378",2022-01-31
"1,137","34,037",2022-02-01
"1,047","7,159",2022-02-07
"1,038","4,626",2022-02-08
"1,037","8,104",2022-02-09
"1,035","39,455",2022-02-10
"1,050","30,607",2022-02-11
"1,080","57,565",2022-02-14
"1,040","88,503",2022-02-15
"1,034","129,711",2022-02-16
"1,035","52,295",2022-02-18
"1,070","21,993",2022-02-21
"1,057","17,056",2022-02-22
"1,033","15,140",2022-02-23
"1,024","12,458",2022-02-24
950,"748,996",2022-02-24
"1,018","10,327",2022-02-25
"1,017","18,930",2022-02-28
"1,010","5,260",2022-03-01
978,"5,022",2022-03-02
"1,015","6,107",2022-03-03
"1,055","14,799",2022-03-04
989,"6,444",2022-03-07
981,"9,526",2022-03-09
950,"6,282",2022-03-10
910,"4,505",2022-03-11
900,"14,503",2022-03-14
900,"10,324",2022-03-15
880,"7,907",2022-03-16
883,"5,189",2022-03-17
870,"1,931",2022-03-18
980,"9,900",2022-03-21
"1,080","14,034",2022-03-22
"1,078","10,979",2022-03-23
"1,057","3,745",2022-03-24
"1,026","6,245",2022-03-25
"1,020","4,756",2022-03-28
977,"3,503",2022-03-29
978,"10,074",2022-03-30
978,"7,545",2022-03-31
969,"6,129",2022-04-01
979,"5,434",2022-04-04
965,"2,800",2022-04-05
950,"58,778",2022-04-06
980,"6,575",2022-04-07
"1,000","14,337",2022-04-08
"1,000","9,802",2022-04-11
960,"5,265",2022-04-12
958,"1,533",2022-04-13
958,"15,079",2022-04-14
957,"2,417",2022-04-15
960,"5,026",2022-04-18
958,"5,204",2022-04-19
960,"3,180",2022-04-20
960,"3,855",2022-04-21
980,"5,874",2022-04-22
970,"2,885",2022-04-25
968,"1,365",2022-04-26
968,"3,393",2022-04-27
965,"6,603",2022-04-28
965,"2,255",2022-04-29
964,"23,363",2022-05-02
950,"3,594",2022-05-03
919,"1,930",2022-05-04
920,"3,266",2022-05-05
920,"2,679",2022-05-06
901,"6,070",2022-05-09
887,"48,506",2022-05-10
835,"4,010",2022-05-11
885,"6,171",2022-05-12
885,"11,245",2022-05-13
866,"6,861",2022-05-17
854,"3,020",2022-05-18
835,"1,972",2022-05-19
815,"8,308",2022-05-20
869,"2,711",2022-05-16
799,"4,795",2022-05-23
785,"3,815",2022-05-24
785,"1,190",2022-05-25
785,"3,962",2022-05-26
800,"1,695",2022-05-27
800,"1,380",2022-05-30
798,"24,732",2022-05-31
789,"6,165",2022-06-02
786,"5,030",2022-06-03
780,"6,271",2022-06-06
800,"11,777",2022-06-07
810,"5,575",2022-06-08
805,"1,217",2022-06-09
805,"4,311",2022-06-10
801,"5,015",2022-06-13
780,"5,505",2022-06-15
784,"4,594",2022-06-16
780,"2,569",2022-06-17
780,977,2022-06-20
762,"5,052",2022-06-21
751,658,2022-06-22
740,"1,501",2022-06-23
740,"2,526",2022-06-24
736,"1,512",2022-06-27
735,"2,610",2022-06-28
736,"1,813",2022-06-29
739,"1,867",2022-06-30
740,"1,262",2022-07-01
730,"1,267",2022-07-04
730,"3,411",2022-07-05
750,"13,303",2022-07-06
750,"1,045",2022-07-07
748,"5,849",2022-07-08
746,"8,502",2022-07-18
744,"2,904",2022-07-19
740,995,2022-07-20
751,"13,248",2022-07-21
854,"4,472",2022-07-22
840,"4,630",2022-07-25
840,"1,722",2022-07-26
840,"2,650",2022-07-27
835,372,2022-07-28
833,"3,481",2022-07-29
834,"5,381",2022-08-01
830,527,2022-08-02
802,511,2022-08-03
826,"1,307",2022-08-04
819,"1,225",2022-08-05
835,"11,893",2022-08-08
830,"2,130",2022-08-09
800,233,2022-08-10
798,80,2022-08-11
798,264,2022-08-12
780,344,2022-08-15
780,317,2022-08-16
776,"2,573",2022-08-17
776,"1,003",2022-08-18
750,"4,149",2022-08-19
745,"1,700",2022-08-22
750,"4,080",2022-08-23
735,"1,177",2022-08-24
735,285,2022-08-25
734,"6,779",2022-08-26
