2nd Column,6th Column,8th Column
890,"18,769",2023-10-11
898,"8,049",2023-10-12
900,"7,086",2023-10-13
917,"4,716",2023-10-16
915,"6,944",2023-10-17
912,"33,782",2023-10-18
905,"11,926",2023-10-19
910,"8,045",2023-10-20
904,"2,845",2023-10-23
905,"5,481",2023-10-24
900,"9,358",2023-10-25
900,"6,462",2023-10-26
900,"1,587",2023-10-27
898,"10,028",2023-10-30
898,"7,862",2023-10-31
898,"8,360",2023-11-01
897,"1,720",2023-11-02
900,"7,348",2023-11-03
897,"2,342",2023-11-06
897,"3,566",2023-11-07
900,"17,345",2023-11-08
895,"5,555",2023-11-09
890,"3,260",2023-11-10
894,"9,186",2023-11-13
888,"12,745",2023-11-15
882,"9,740",2023-11-16
880,"6,280",2023-11-17
875,"7,899",2023-11-20
866,"19,475",2023-11-21
865,"5,253",2023-11-22
863,"6,966",2023-11-23
866,"25,627",2023-11-24
860,"3,947",2023-11-27
861,"4,314",2023-11-28
852,"21,343",2023-11-29
852,"23,446",2023-11-30
851,"7,498",2023-12-01
850,"10,858",2023-12-04
849,"9,243",2023-12-05
844,"3,905",2023-12-06
844,"7,989",2023-12-07
843,"29,828",2023-12-08
843,"6,300",2023-12-11
843,"13,851",2023-12-12
"1,285","767,835",2023-12-12
