2nd Column,6th Column,8th Column
698,"61,879",2018-06-20
680,"64,679",2018-06-21
673,"67,219",2018-06-22
674,"66,649",2018-06-25
663,"17,129",2018-06-26
664,"13,720",2018-06-27
663,"29,132",2018-06-28
650,"27,649",2018-06-29
655,"18,429",2018-07-02
656,"9,744",2018-07-03
654,"8,957",2018-07-04
650,"16,014",2018-07-05
645,"18,927",2018-07-06
653,"57,716",2018-07-09
653,100,2018-07-10
645,"2,300",2018-07-16
640,"9,076",2018-07-17
643,"8,507",2018-07-18
640,"1,000",2018-07-19
644,"10,342",2018-07-20
645,"11,732",2018-07-23
640,"18,314",2018-07-24
630,"3,000",2018-07-25
620,"18,499",2018-07-26
615,13,2018-07-27
600,"4,656",2018-07-30
599,"2,500",2018-07-31
610,500,2018-08-01
610,363,2018-08-02
608,100,2018-08-03
605,"1,874",2018-08-06
605,"4,402",2018-08-07
605,1,2018-08-10
605,49,2018-08-13
608,"2,570",2018-08-14
609,1,2018-08-15
600,303,2018-08-16
570,"4,684",2018-08-17
600,"1,811",2018-08-20
598,650,2018-08-21
589,"1,217",2018-08-22
589,"4,023",2018-08-23
614,"8,087",2018-08-24
640,"26,891",2018-08-27
646,"13,572",2018-08-28
680,"20,563",2018-08-29
665,"11,685",2018-08-30
640,"2,843",2018-08-31
643,"48,873",2018-09-03
650,"7,529",2018-09-04
658,"13,701",2018-09-05
653,"1,362",2018-09-06
643,"7,147",2018-09-07
652,"21,679",2018-09-10
650,"1,196",2018-09-11
650,"1,200",2018-09-12
653,"8,114",2018-09-13
653,"72,551",2018-09-14
622,"1,539",2018-09-17
650,"1,555",2018-09-19
626,188,2018-09-20
629,"18,352",2018-09-21
620,101,2018-09-24
611,"29,418",2018-09-25
586,750,2018-09-26
600,"1,106",2018-09-27
586,"2,350",2018-09-28
626,"23,218",2018-10-01
620,"3,083",2018-10-02
620,"1,224",2018-10-03
620,20,2018-10-04
624,"1,010",2018-10-05
620,"17,043",2018-10-08
625,"10,535",2018-10-09
600,"1,860",2018-10-10
620,435,2018-10-11
590,100,2018-10-12
618,400,2018-10-15
595,"3,021",2018-10-16
590,450,2018-10-18
615,591,2018-10-19
600,"11,232",2018-10-23
600,"7,347",2018-10-24
580,"3,143",2018-10-25
600,259,2018-10-29
560,"3,217",2018-10-30
560,"8,769",2018-10-31
561,"1,074",2018-11-01
580,18,2018-11-02
565,"1,988",2018-11-05
570,461,2018-11-06
579,"5,168",2018-11-07
538,"1,373",2018-11-12
530,"9,989",2018-11-13
560,"9,831",2018-11-14
569,"4,460",2018-11-15
560,"6,328",2018-11-19
569,"8,711",2018-11-20
610,"233,065",2018-11-21
600,"3,153",2018-11-22
590,"1,614",2018-11-23
557,"4,692",2018-11-27
590,560,2018-11-28
580,7,2018-12-03
580,7,2018-12-03
580,4,2018-12-04
570,10,2018-12-05
557,"1,000",2018-12-06
560,350,2018-12-12
560,"3,106",2018-12-14
560,"8,536",2018-12-18
582,390,2018-12-20
582,20,2018-12-21
565,470,2018-12-25
570,744,2018-12-26
580,20,2018-12-31
580,350,2019-01-03
580,15,2019-01-04
550,"4,213",2019-01-08
550,"5,887",2019-01-09
