2nd Column,6th Column,8th Column
"1,730","9,712",2019-06-10
"1,733","15,600",2019-06-11
"1,800","38,919",2019-06-12
"1,840","12,234",2019-06-13
"1,850","15,904",2019-06-14
"1,850",25,2019-06-17
"1,823","8,668",2019-06-18
"1,823","17,690",2019-06-19
"1,828","12,768",2019-06-20
"1,830","13,472",2019-06-21
"1,830","16,678",2019-06-24
"1,832","2,562",2019-06-25
"1,816","7,560",2019-06-26
"1,825","1,022",2019-06-27
"1,825","2,893",2019-06-28
"1,825","1,215",2019-07-01
"1,825",376,2019-07-02
"1,820",202,2019-07-03
"1,810","21,739",2019-07-04
"1,818",701,2019-07-05
"1,812",128,2019-07-08
"1,813",10,2019-07-09
"1,799",50,2019-07-10
"1,770","13,290",2019-07-16
"1,761","1,014",2019-07-17
"1,763",403,2019-07-18
"1,767","6,230",2019-07-19
"1,800","1,446",2019-07-22
"1,813",120,2019-07-23
"1,820","3,558",2019-07-24
"1,820","1,616",2019-07-25
"1,820","3,233",2019-07-26
"1,850","9,153",2019-07-29
"1,900","1,447",2019-07-30
"1,830","1,350",2019-07-31
"1,830","3,714",2019-08-01
"1,834","1,465",2019-08-02
"1,899","2,970",2019-08-05
"1,900","3,552",2019-08-06
"1,890","5,264",2019-08-07
"1,930","3,843",2019-08-08
"1,900","2,750",2019-08-09
"1,910","2,138",2019-08-12
"1,920","3,520",2019-08-13
"1,940","10,055",2019-08-14
"1,920",105,2019-08-15
"1,900",450,2019-08-16
"1,918","7,215",2019-08-19
"1,900",100,2019-08-20
"1,918","1,389",2019-08-21
"1,910",710,2019-08-22
"1,909","1,695",2019-08-23
"1,910",101,2019-08-26
"1,910","2,649",2019-08-27
"1,915","1,246",2019-08-28
"1,920",480,2019-08-29
"1,920","2,055",2019-08-30
"1,925","2,182",2019-09-02
"1,890","2,101",2019-09-04
"1,850",851,2019-09-05
"1,850",154,2019-09-06
"1,920","57,783",2019-09-07
"1,920","57,783",2019-09-07
"1,925",600,2019-09-09
"2,000","3,358",2019-09-10
"1,994",621,2019-09-11
"1,995","1,821",2019-09-12
"1,995",15,2019-09-13
"2,000","1,435",2019-09-16
"1,999",252,2019-09-17
"1,998",110,2019-09-18
"1,999",240,2019-09-19
"2,000","3,116",2019-09-20
"2,000",704,2019-09-23
"1,998",450,2019-09-24
"1,999","4,330",2019-09-25
"2,000","1,267",2019-09-26
"1,998","28,012",2019-09-27
"1,996","14,645",2019-09-30
"1,995",440,2019-10-01
"1,995",240,2019-10-02
"1,998","6,420",2019-10-03
"1,998",413,2019-10-04
"1,998",100,2019-10-07
"1,998","1,782",2019-10-08
"2,020","10,175",2019-10-09
"2,019","25,228",2019-10-10
"2,020","1,434",2019-10-11
"2,020",250,2019-10-14
"2,049",410,2019-10-15
"2,048","8,327",2019-10-16
"2,043",414,2019-10-17
"2,043",11,2019-10-18
"2,044","5,071",2019-10-21
"2,035","24,859",2019-10-22
"2,000","3,210",2019-10-23
"2,010","17,870",2019-10-24
"1,999","1,040",2019-10-25
"2,044","7,550",2019-10-28
"2,044",370,2019-10-29
"2,045","1,255",2019-10-30
"2,047",550,2019-10-31
"2,097","1,486",2019-11-01
"2,099","1,260",2019-11-04
"2,087","1,542",2019-11-05
"2,050",321,2019-11-06
"2,080","5,935",2019-11-07
"2,081",65,2019-11-08
"2,100",885,2019-11-11
"2,100",650,2019-11-12
"2,148",395,2019-11-13
"2,102","5,002",2019-11-14
"2,130","1,432",2019-11-15
"2,088",100,2019-11-18
"2,088",707,2019-11-19
"2,150","1,340",2019-11-20
"2,196",165,2019-11-21
"2,150",95,2019-11-22
"2,050","584,116",2019-11-22
"2,150",202,2019-11-25
"2,150",330,2019-11-28
"2,149",70,2019-11-29
"2,150","3,540",2019-12-02
"2,160","4,318",2019-12-03
"2,178","102,691",2019-12-04
"2,165","2,770",2019-12-05
"2,192","1,413",2019-12-06
"2,192",55,2019-12-09
"2,180",60,2019-12-10
"2,190",220,2019-12-11
"2,190",159,2019-12-12
"2,189",86,2019-12-13
"2,188",20,2019-12-16
"2,185","1,155",2019-12-17
"2,193","3,100",2019-12-18
"2,193",220,2019-12-19
"2,192",75,2019-12-20
"2,192",830,2019-12-23
"2,189","5,258",2019-12-24
"2,188",111,2019-12-25
"2,189",270,2019-12-26
"2,517","12,311",2019-12-27
"2,519","3,517",2019-12-30
"2,500",898,2019-12-31
"2,380",401,2020-01-02
"2,201",30,2020-01-03
"2,207",610,2020-01-06
"2,378","1,550",2020-01-07
"2,400",701,2020-01-08
"2,591","2,783",2020-01-09
"2,831","12,355",2020-01-10
"2,800","5,840",2020-01-13
"2,605","3,120",2020-01-14
"2,748","2,640",2020-01-15
"2,650",150,2020-01-16
"2,745","1,698",2020-01-17
"2,999",773,2020-01-20
"2,660",269,2020-01-21
"2,708",756,2020-01-22
"2,705",913,2020-01-23
"2,680",60,2020-01-24
"2,679","2,302",2020-01-27
"2,670","3,441",2020-01-28
"2,669",150,2020-01-29
"2,704",182,2020-01-30
"2,660",25,2020-01-31
"2,665","1,030",2020-02-03
"2,655",50,2020-02-04
"2,660",394,2020-02-05
"2,680","1,595",2020-02-06
"2,649","2,592",2020-02-07
"2,648",30,2020-02-10
"2,649",147,2020-02-11
"2,648","1,090",2020-02-12
"2,650","2,763",2020-02-13
"2,650",70,2020-02-14
"2,692",130,2020-02-17
"2,660","1,535",2020-02-18
"2,692",851,2020-02-19
"2,692",80,2020-02-20
"2,688","1,146",2020-02-21
"2,684",120,2020-02-27
"2,660","3,850",2020-02-28
"2,669",14,2020-03-02
"2,669",40,2020-03-03
"2,670","2,012",2020-03-04
"2,659",832,2020-03-05
"2,600","84,940",2020-03-06
"2,659","4,320",2020-03-09
"2,610","58,080",2020-03-10
"2,570",339,2020-03-11
"2,610",485,2020-03-12
"2,610",850,2020-03-13
"2,635",170,2020-03-16
"2,610","1,080",2020-03-17
"2,605",727,2020-03-18
"2,605",60,2020-03-19
"2,600",145,2020-03-20
"2,600",876,2020-03-23
"2,575","17,093",2020-03-24
"2,579",684,2020-03-25
"2,580","1,377",2020-03-26
"2,500","1,124",2020-03-27
"2,500",570,2020-03-30
"2,500",20,2020-03-31
"2,499",653,2020-04-01
"2,498",20,2020-04-02
"2,489","1,344",2020-04-03
"2,490",20,2020-04-06
"2,490",10,2020-04-07
"2,490",30,2020-04-08
"2,490",10,2020-04-09
"2,490",20,2020-04-10
"2,490",70,2020-04-13
"2,490",57,2020-04-14
"2,490",10,2020-04-15
"2,490",50,2020-04-16
"2,490",170,2020-04-17
"2,494","1,001",2020-04-20
"2,550","1,177",2020-04-21
"2,500",160,2020-04-22
"2,505",100,2020-04-23
"2,510",20,2020-04-24
"2,510",3,2020-04-27
"2,621",1,2020-04-28
"2,670",846,2020-04-29
"2,560",155,2020-04-30
"2,600",50,2020-05-01
"2,518",5,2020-05-04
"2,518",10,2020-05-05
"2,600",5,2020-05-06
"2,600",503,2020-05-07
"2,550",20,2020-05-08
"2,600",2,2020-05-11
"2,550",70,2020-05-12
"2,525",2,2020-05-13
"2,525",1,2020-05-14
"2,524",20,2020-05-15
"2,525",10,2020-05-18
"2,525",10,2020-05-19
"2,526",5,2020-05-20
"2,525",5,2020-05-21
"2,520",2,2020-05-22
"2,525",4,2020-05-25
"2,525",5,2020-05-26
"2,500",10,2020-05-27
"2,500",5,2020-05-28
"2,500",10,2020-05-29
"2,500",5,2020-06-02
"2,500",10,2020-06-03
"2,500",15,2020-06-04
"2,515",30,2020-06-08
"2,515",5,2020-06-09
"2,510",10,2020-06-10
"2,515",5,2020-06-11
"2,500",5,2020-06-12
"2,500",34,2020-06-15
"2,500",10,2020-06-16
"2,498",5,2020-06-17
"2,498",10,2020-06-18
"2,498","3,123",2020-06-19
"2,498","7,149",2020-06-22
"2,498","5,188",2020-06-23
"2,500","2,693",2020-06-25
"2,515",118,2020-06-26
"2,514",60,2020-06-29
"2,514",30,2020-06-30
"2,514",115,2020-07-01
"2,514",15,2020-07-02
"2,514",30,2020-07-03
"2,515",800,2020-07-06
"2,515","1,265",2020-07-07
"2,516","8,705",2020-07-08
"2,515",952,2020-07-09
"2,513",80,2020-07-10
"2,513",20,2020-07-16
"2,520","9,087",2020-07-17
"2,515","2,160",2020-07-20
"2,510",35,2020-07-21
"2,510",120,2020-07-22
"2,140","670,000",2020-07-22
"2,510",20,2020-07-23
"2,535","5,824",2020-07-24
"2,520",10,2020-07-27
"2,540","2,050",2020-07-28
"2,142","450,000",2020-07-28
"2,530","4,200",2020-07-29
"2,625","1,700",2020-07-30
"2,535",94,2020-07-31
"2,538",600,2020-08-03
"2,542","4,800",2020-08-04
"2,593","96,428",2020-08-04
"2,552",810,2020-08-05
"2,590",498,2020-08-06
"2,628",103,2020-08-07
"2,629",155,2020-08-10
"2,227","1,100,000",2020-08-10
"2,629","1,190",2020-08-11
"2,628",263,2020-08-12
"2,849","2,047",2020-08-13
"2,650",110,2020-08-14
"2,670",489,2020-08-17
"2,652",110,2020-08-18
"2,655",190,2020-08-19
"2,847",211,2020-08-20
"2,655",203,2020-08-21
"2,655",820,2020-08-24
"2,655",24,2020-08-25
"2,655",190,2020-08-26
"2,655",123,2020-08-27
"2,655",30,2020-08-28
"2,655",300,2020-08-31
"2,658",149,2020-09-01
"2,655","10,160",2020-09-02
"2,655",90,2020-09-03
"2,654",55,2020-09-04
"2,654",465,2020-09-07
"2,655",435,2020-09-08
"2,655",33,2020-09-09
"2,655",56,2020-09-10
"2,660","4,787",2020-09-11
"2,700",325,2020-09-14
"2,700","3,230",2020-09-15
"2,682",70,2020-09-16
"2,682",26,2020-09-17
"2,700","2,267",2020-09-18
"2,691",104,2020-09-21
"2,691",2,2020-09-22
"2,691",19,2020-09-23
"2,710","5,990",2020-09-24
"2,700",5,2020-09-25
"2,715",460,2020-09-28
"2,750",198,2020-09-29
"2,800",715,2020-09-30
"2,810",120,2020-10-01
"2,839","2,458",2020-10-02
"2,810",4,2020-10-05
"2,820",60,2020-10-06
"2,846",186,2020-10-07
"2,847",80,2020-10-08
"2,850",381,2020-10-09
"2,840",4,2020-10-12
"2,860",500,2020-10-13
"2,880",154,2020-10-14
"2,880",171,2020-10-16
"2,870",200,2020-10-19
"2,880",63,2020-10-20
"2,865",1,2020-10-21
"2,865",10,2020-10-22
"2,900",190,2020-10-23
"2,900",5,2020-10-26
"2,900",52,2020-10-27
"2,920",169,2020-10-28
"2,900",1,2020-10-29
"2,920",140,2020-10-30
"2,900",8,2020-11-02
"3,000",830,2020-11-03
"2,920",17,2020-11-04
"2,925",28,2020-11-05
"2,930",242,2020-11-06
"2,910",20,2020-11-09
"2,909",22,2020-11-10
"2,909",2,2020-11-11
"2,920",11,2020-11-12
"2,909",4,2020-11-13
"2,910",14,2020-11-17
"2,910",23,2020-11-18
"2,920",135,2020-11-19
"2,914",13,2020-11-20
"2,910",5,2020-11-23
"2,909",10,2020-11-24
"2,910",460,2020-11-25
"2,910",125,2020-11-27
"2,910","1,082",2020-11-30
"2,919",1,2020-12-01
"2,920",42,2020-12-02
"2,919",150,2020-12-03
"2,920",360,2020-12-07
"2,920",70,2020-12-08
"2,919",258,2020-12-09
"2,920",230,2020-12-10
"2,919",219,2020-12-11
"2,920",5,2020-12-14
"2,920",260,2020-12-15
"2,920",85,2020-12-16
"2,920","1,171",2020-12-17
"2,920",260,2020-12-18
"2,920",145,2020-12-21
"2,920",158,2020-12-22
"2,920",5,2020-12-23
"2,920",93,2020-12-24
"2,920",100,2020-12-25
"2,920",65,2020-12-28
"2,920","1,159",2020-12-30
"2,969","2,530",2020-12-31
"2,960",10,2021-01-04
"2,950",43,2021-01-05
"2,950",564,2021-01-06
