2nd Column,6th Column,8th Column
93,"4,251,313",2019-03-12
90,"380,629",2019-03-13
87,"486,135",2019-03-14
83,"176,158",2019-03-15
82,"261,265",2019-03-18
82,"39,809",2019-03-19
82,"59,412",2019-03-20
83,"72,079",2019-03-21
82,"12,549",2019-03-22
82,"94,694",2019-03-25
82,"71,849",2019-03-26
81,"142,428",2019-03-27
81,"103,178",2019-03-28
81,"56,821",2019-03-29
81,"408,137",2019-04-01
80,"256,022",2019-04-02
79,"312,205",2019-04-03
80,"301,882",2019-04-04
80,"366,244",2019-04-05
80,"248,044",2019-04-08
80,"33,850",2019-04-09
80,"85,172",2019-04-10
78,"38,643",2019-04-11
78,"28,513",2019-04-12
80,"130,231",2019-04-15
80,"4,697",2019-04-16
79,474,2019-04-17
79,"10,072",2019-04-18
79,"138,542",2019-04-19
78,"20,103",2019-04-22
78,"158,108",2019-04-23
79,"36,814",2019-04-24
79,"139,133",2019-04-25
80,"317,915",2019-04-26
78,"91,147",2019-04-29
75,"109,859",2019-04-30
77,"20,233",2019-05-01
77,"21,565",2019-05-02
77,"45,359",2019-05-03
76,"206,040",2019-05-06
76,"838,769",2019-05-07
73,"95,521",2019-05-08
71,"132,805",2019-05-09
71,408,2019-05-10
71,"13,535",2019-05-13
71,"20,147",2019-05-14
71,"19,250",2019-05-15
71,"35,275",2019-05-16
70,"9,135",2019-05-17
70,"2,024",2019-05-20
70,"6,996",2019-05-21
70,"87,148",2019-05-22
68,"83,001",2019-05-23
68,"15,874",2019-05-24
65,"83,040",2019-05-27
67,"110,014",2019-05-28
68,"80,166",2019-05-29
68,"3,911",2019-05-30
68,"1,093",2019-05-31
68,"9,719",2019-06-03
70,"15,085",2019-06-04
70,"43,585",2019-06-05
70,"1,812",2019-06-06
70,"7,551",2019-06-07
70,200,2019-06-10
68,"188,022",2019-06-11
67,"139,241",2019-06-12
68,20,2019-06-13
70,"173,912",2019-06-14
70,"537,901",2019-06-17
73,"456,702",2019-06-18
75,"121,624",2019-06-19
74,"111,277",2019-06-20
77,"517,728",2019-06-21
80,"339,142",2019-06-24
80,"217,214",2019-06-25
80,"86,396",2019-06-26
81,"811,173",2019-06-27
83,"1,725,423",2019-06-28
81,"8,030",2019-07-01
81,"216,515",2019-07-02
81,"33,204",2019-07-03
81,"29,513",2019-07-04
81,"27,065",2019-07-05
80,"13,479",2019-07-08
80,"17,488",2019-07-09
79,334,2019-07-10
80,"4,900",2019-07-16
80,"1,134,635",2019-07-18
80,"1,000",2019-07-19
80,"1,000",2019-07-22
79,"15,413",2019-07-23
79,"4,081",2019-07-24
77,91,2019-07-25
77,"32,320",2019-07-29
77,"1,180",2019-07-30
78,"4,774",2019-08-02
78,"1,851",2019-08-05
78,542,2019-08-06
78,"6,556",2019-08-07
79,"41,794",2019-08-08
79,177,2019-08-09
78,"10,656",2019-08-13
78,"18,622",2019-08-15
78,"21,521",2019-08-16
78,"32,010",2019-08-19
77,"10,277",2019-08-20
75,"13,765",2019-08-22
75,"5,397",2019-08-23
74,"13,385",2019-08-27
73,"1,078",2019-08-28
74,"24,888",2019-08-29
72,"21,009",2019-08-30
72,"1,005",2019-09-02
71,"7,028",2019-09-05
70,"14,575",2019-09-06
70,17,2019-09-07
70,17,2019-09-07
69,"9,754",2019-09-09
73,"17,581",2019-09-10
72,"1,100",2019-09-11
74,"15,210",2019-09-12
74,"12,397",2019-09-13
70,"16,299",2019-09-16
68,"1,123",2019-09-17
70,"18,263",2019-09-18
69,"4,130",2019-09-19
69,"58,077",2019-09-20
70,"7,966",2019-09-23
73,"70,515",2019-09-24
73,"15,747",2019-09-25
73,"71,952",2019-09-26
75,"114,314",2019-09-27
76,"805,540",2019-09-30
74,314,2019-10-01
73,"13,981",2019-10-03
72,14,2019-10-04
68,"4,694",2019-10-07
72,560,2019-10-08
71,"2,000",2019-10-09
71,500,2019-10-10
71,"17,482",2019-10-11
68,"9,547",2019-10-14
70,"5,566",2019-10-16
70,"282,078",2019-10-17
73,"57,565",2019-10-18
