2nd Column,6th Column,8th Column
185,"113,000",2016-01-20
213,"1,550",2016-01-20
244,"92,144",2016-01-21
281,"29,488",2016-01-22
321,"92,224",2016-01-25
325,"75,420",2016-01-26
325,"76,917",2016-01-27
280,"1,228",2016-01-28
285,"7,010",2016-01-29
280,"4,160",2016-02-01
300,"2,829",2016-02-02
281,"8,468",2016-02-03
310,170,2016-02-04
300,"5,000",2016-02-05
310,"10,100",2016-02-08
310,"1,000",2016-02-12
310,"2,142",2016-02-16
319,"11,985",2016-02-17
320,"9,284",2016-02-19
323,"1,100",2016-02-22
324,"10,490",2016-02-23
325,"3,060",2016-02-25
325,"17,492",2016-02-26
326,110,2016-02-29
325,"2,776",2016-03-01
325,290,2016-03-02
325,15,2016-03-03
330,978,2016-03-09
320,479,2016-03-11
317,"2,297",2016-03-14
301,"2,414",2016-03-15
310,1,2016-03-16
320,307,2016-03-17
320,1,2016-03-18
305,"2,235",2016-03-21
305,"1,500",2016-03-22
305,"1,200",2016-03-23
305,"1,200",2016-03-23
305,519,2016-03-25
303,167,2016-03-28
303,261,2016-03-29
303,20,2016-03-30
305,"1,000",2016-03-31
302,110,2016-04-01
300,75,2016-04-06
295,705,2016-04-07
303,"7,761,274",2016-04-08
295,"2,000",2016-04-08
292,26,2016-04-11
295,"5,035",2016-04-12
293,300,2016-04-13
292,"3,681",2016-04-14
288,"1,313",2016-04-18
288,222,2016-04-20
302,"28,315",2016-04-21
290,19,2016-04-22
280,61,2016-05-02
260,"10,000",2016-05-03
261,"7,509",2016-05-05
280,100,2016-05-09
302,"150,927",2016-05-16
289,"2,538",2016-05-19
302,"1,700",2016-05-23
290,"1,000",2016-05-26
295,150,2016-05-30
295,362,2016-06-08
280,498,2016-06-13
285,100,2016-06-14
285,"2,041",2016-06-15
300,"2,655",2016-06-16
299,780,2016-06-23
299,"1,100",2016-06-28
299,580,2016-06-30
299,"671,991",2016-07-01
299,"1,200",2016-07-04
290,972,2016-07-05
299,419,2016-07-08
295,300,2016-07-19
299,485,2016-07-20
297,"190,000",2016-07-21
285,823,2016-08-15
285,215,2016-08-19
285,253,2016-08-23
282,50,2016-08-24
278,159,2016-08-29
282,16,2016-08-31
282,531,2016-09-01
279,1,2016-09-08
279,400,2016-09-12
275,100,2016-09-14
279,500,2016-09-15
279,30,2016-09-16
278,"1,313",2016-09-21
276,"1,874",2016-09-22
275,425,2016-09-23
240,"1,000",2016-09-27
240,49,2016-09-28
275,"322,531",2016-09-29
300,"9,569",2016-09-30
290,"1,500",2016-10-03
280,"2,185",2016-10-04
280,527,2016-10-05
280,100,2016-10-12
277,100,2016-10-17
278,544,2016-10-18
277,"1,200",2016-10-20
279,180,2016-10-21
278,200,2016-10-25
275,26,2016-11-02
275,"1,852,905",2016-11-03
278,573,2016-11-04
278,"2,245",2016-11-07
278,"1,775",2016-11-08
278,66,2016-11-09
278,68,2016-11-10
278,"3,208",2016-11-11
300,800,2016-11-14
300,602,2016-11-17
305,"15,999",2016-11-22
305,700,2016-11-24
340,845,2016-11-29
340,"15,212",2016-11-30
340,228,2016-12-01
335,"6,995",2016-12-02
340,"1,668",2016-12-05
360,"3,274",2016-12-06
345,"4,290",2016-12-07
345,"1,450",2016-12-08
345,"5,487",2016-12-09
345,"18,584",2016-12-12
325,"4,854",2016-12-13
340,"75,610",2016-12-15
340,"2,046,818",2016-12-16
340,530,2016-12-19
340,"3,354",2016-12-21
340,500,2016-12-22
340,200,2016-12-23
340,130,2016-12-26
340,"9,919",2016-12-27
340,"1,249",2016-12-28
335,"1,172",2017-01-02
332,"38,483",2017-01-04
330,118,2017-01-05
315,"17,076",2017-01-06
320,"10,000",2017-01-10
355,96,2017-01-17
355,"1,317",2017-01-18
370,"3,494",2017-01-19
369,"4,286",2017-01-20
370,"16,896",2017-01-23
368,"14,658",2017-01-24
365,750,2017-01-25
360,"33,180",2017-01-26
367,"54,213",2017-01-27
368,"17,873",2017-01-30
365,"9,725",2017-01-31
365,"1,030",2017-02-01
364,941,2017-02-02
368,"10,003",2017-02-03
365,"18,007",2017-02-06
368,"1,858",2017-02-07
365,"3,662",2017-02-08
365,200,2017-02-09
364,"19,166",2017-02-10
365,"3,897",2017-02-13
369,"2,951",2017-02-14
408,"6,519",2017-02-15
380,30,2017-02-16
414,283,2017-02-17
412,"97,040",2017-02-20
390,"1,081",2017-02-21
410,"3,541",2017-02-22
406,"10,373",2017-02-23
410,"7,606",2017-02-24
400,"3,180",2017-03-02
400,"6,172",2017-03-03
399,252,2017-03-06
400,"3,016",2017-03-07
399,"3,666",2017-03-10
390,200,2017-03-13
397,306,2017-03-14
390,"2,731",2017-03-15
