2nd Column,6th Column,8th Column
165,"71,474",2022-10-06
165,"269,796",2022-10-07
165,"172,659",2022-10-10
180,"259,853",2022-10-11
190,"18,652",2022-10-12
208,"157,371",2022-10-13
210,"251,438",2022-10-14
192,"151,729",2022-10-17
182,"95,859",2022-10-18
179,"22,189",2022-10-19
172,"26,436",2022-10-20
172,"104,470",2022-10-21
172,"32,407",2022-10-24
171,"41,851",2022-10-25
168,"5,223",2022-10-26
170,"20,377",2022-10-27
169,"14,452",2022-10-28
171,"19,810",2022-10-31
170,"8,811",2022-11-01
170,"78,833",2022-11-02
170,"56,198",2022-11-03
169,"12,561",2022-11-04
168,"48,248",2022-11-07
165,"28,942",2022-11-08
166,"12,780",2022-11-09
167,"4,597",2022-11-10
167,"51,365",2022-11-11
166,"9,992",2022-11-14
166,"47,729",2022-11-15
165,"17,379",2022-11-16
167,"54,904",2022-11-17
172,"77,874",2022-11-18
172,"37,723",2022-11-21
171,"64,788",2022-11-22
168,"66,364",2022-11-23
167,"29,534",2022-11-25
166,"8,991",2022-11-28
163,"6,192",2022-11-29
165,"2,478",2022-11-30
164,67,2022-12-01
164,"3,593",2022-12-02
158,"6,294",2022-12-05
165,"43,126",2022-12-06
164,"157,587",2022-12-07
164,"179,934",2022-12-08
163,"188,223",2022-12-09
163,"47,099",2022-12-12
163,"9,172",2022-12-13
163,"11,425",2022-12-14
162,"3,442",2022-12-15
162,"3,176",2022-12-16
161,"5,106",2022-12-19
160,"11,174",2022-12-20
160,"27,539",2022-12-21
160,"4,125",2022-12-22
160,"4,045",2022-12-23
159,"9,461",2022-12-26
162,"111,278",2022-12-27
163,"7,165",2022-12-28
163,"22,361",2022-12-30
163,"3,111",2023-01-02
160,"1,227",2023-01-03
160,"3,935",2023-01-04
159,"2,062",2023-01-05
159,"60,816",2023-01-06
162,"17,514",2023-01-09
161,"1,048",2023-01-10
161,"35,515",2023-01-11
161,"12,042",2023-01-12
161,"13,179",2023-01-13
160,"11,367",2023-01-16
160,"35,626",2023-01-17
165,"94,555",2023-01-18
165,"11,806",2023-01-19
167,"2,111",2023-01-20
167,"56,036",2023-01-23
169,"8,841",2023-01-24
167,"6,602",2023-01-25
162,"8,376",2023-01-26
163,"10,402",2023-01-27
166,"19,792",2023-01-30
166,"99,708",2023-01-31
166,"9,241",2023-02-01
161,"11,500",2023-02-02
165,"21,932",2023-02-03
166,"34,466",2023-02-06
166,"2,426",2023-02-07
166,"9,908",2023-02-08
166,"4,404",2023-02-09
165,"10,310",2023-02-10
164,"6,918",2023-02-13
164,579,2023-02-14
164,652,2023-02-15
164,"8,790",2023-02-16
164,824,2023-02-17
163,771,2023-02-20
156,"11,467",2023-02-24
163,"2,750",2023-02-27
161,"33,869",2023-02-28
164,"41,032",2023-03-01
164,"23,387",2023-03-02
160,"13,487",2023-03-03
160,"5,179",2023-03-06
160,"6,958",2023-03-07
160,590,2023-03-09
160,"20,678",2023-03-10
159,"8,967",2023-03-13
159,"4,459",2023-03-14
159,"21,143",2023-03-15
158,"5,545",2023-03-16
156,"6,599",2023-03-17
159,"17,736",2023-03-20
156,"3,062",2023-03-21
159,"3,642",2023-03-22
158,"2,029",2023-03-23
156,"1,410",2023-03-24
156,"1,034",2023-03-27
156,"6,527",2023-03-28
156,682,2023-03-29
156,"32,825",2023-03-30
160,"118,862",2023-03-31
168,"23,466",2023-04-03
177,"31,095",2023-04-04
165,"4,011",2023-04-05
165,"35,307",2023-04-06
165,"33,322",2023-04-07
165,"25,985",2023-04-10
164,"5,417",2023-04-11
163,"3,356",2023-04-12
163,"6,139",2023-04-13
160,"4,826",2023-04-14
163,"3,894",2023-04-17
162,"11,640",2023-04-18
159,"22,113",2023-04-19
162,"29,206",2023-04-20
162,"10,789",2023-04-21
162,"15,341",2023-04-24
162,"1,125",2023-04-25
161,"3,972",2023-04-26
160,"3,491",2023-04-27
161,146,2023-04-28
160,"1,980",2023-05-01
160,"4,507",2023-05-02
159,"1,488",2023-05-03
159,"8,425",2023-05-04
159,"31,563",2023-05-05
158,"2,594",2023-05-08
158,"26,318",2023-05-09
156,"26,329",2023-05-10
157,"13,524",2023-05-11
157,"1,966",2023-05-12
157,"9,021",2023-05-15
157,"93,437",2023-05-16
157,585,2023-05-17
157,624,2023-05-18
156,280,2023-05-19
156,"3,906",2023-05-22
156,698,2023-05-23
156,"1,015",2023-05-24
156,"11,352",2023-05-25
155,"9,682",2023-05-26
154,"37,164",2023-05-29
154,"38,747",2023-05-30
155,"2,770",2023-05-31
155,674,2023-06-02
155,"4,756",2023-06-05
153,"3,313",2023-06-06
154,"77,096",2023-06-07
156,"11,403",2023-06-08
156,765,2023-06-09
155,"3,920",2023-06-12
155,"10,290",2023-06-13
155,"6,698",2023-06-14
155,"10,451",2023-06-15
156,"23,108",2023-06-16
155,"2,898",2023-06-19
160,"140,365",2023-06-20
164,"124,673",2023-06-21
164,"9,872",2023-06-22
165,"28,753",2023-06-23
166,"23,953",2023-06-26
167,"2,457",2023-06-27
167,"22,905",2023-06-28
170,"116,375",2023-06-29
170,"1,899",2023-06-30
195,"46,235",2023-07-03
175,"7,614",2023-07-04
172,"11,974,769",2023-07-05
167,"7,761",2023-07-07
158,730,2023-07-17
166,"3,204",2023-07-18
165,"1,368",2023-07-19
165,"4,840",2023-07-20
165,"11,534",2023-07-21
165,"3,954",2023-07-24
165,"5,652",2023-07-25
162,"4,419",2023-07-26
159,617,2023-07-27
159,"4,017",2023-07-28
169,"4,777",2023-07-06
157,"2,097",2023-07-31
159,"2,186",2023-08-01
158,"10,403",2023-08-02
158,"9,174",2023-08-03
158,781,2023-08-04
156,"2,217",2023-08-07
155,"10,525",2023-08-08
156,"9,589",2023-08-09
156,202,2023-08-10
155,"4,446",2023-08-11
153,"3,623",2023-08-14
153,"6,780",2023-08-15
152,"7,753",2023-08-16
153,"7,744",2023-08-17
153,"11,067",2023-08-18
153,"1,610",2023-08-21
153,"58,413",2023-08-22
153,"5,056",2023-08-23
153,"7,455",2023-08-24
153,"3,853",2023-08-25
155,"29,410",2023-08-28
155,"3,188",2023-08-29
153,"7,054",2023-08-30
153,"1,218",2023-08-31
153,603,2023-09-01
152,"1,925",2023-09-04
152,"42,867",2023-09-05
153,"4,302",2023-09-06
151,19,2023-09-07
151,"27,167",2023-09-11
151,"5,731",2023-09-12
151,"6,916",2023-09-13
151,"4,771",2023-09-14
151,"11,810",2023-09-15
151,"3,490",2023-09-18
151,"5,590",2023-09-19
151,"1,974",2023-09-20
149,"1,638",2023-09-21
151,"1,974",2023-09-22
151,"7,031",2023-09-25
151,"3,050",2023-09-26
151,407,2023-09-27
151,405,2023-09-28
151,"2,179",2023-09-29
151,"3,000",2023-10-02
150,"11,958",2023-10-03
150,"7,394",2023-10-04
