2nd Column,6th Column,8th Column
600,449,2014-09-17
620,177,2014-09-18
562,596,2014-09-19
567,149,2014-09-22
567,2,2014-09-24
569,449,2014-09-30
569,299,2014-10-02
567,149,2014-10-13
567,749,2014-10-14
566,159,2014-10-15
567,5,2014-10-16
567,298,2014-10-17
552,149,2014-10-27
552,149,2014-10-28
552,749,2014-10-29
552,603,2014-10-31
570,515,2014-11-06
600,"6,326",2014-11-10
600,"1,304",2014-11-13
561,447,2014-11-17
570,2,2014-11-19
508,"1,840,000",2014-11-24
560,298,2014-11-25
561,"1,352",2014-11-26
561,"1,046",2014-11-27
561,596,2014-11-28
561,3,2014-12-01
579,952,2014-12-02
560,449,2014-12-03
562,149,2014-12-04
579,15,2014-12-08
579,30,2014-12-11
579,149,2014-12-15
579,10,2014-12-18
579,355,2014-12-19
579,"1,296",2014-12-22
561,749,2014-12-24
574,10,2014-12-26
600,673,2014-12-31
584,"1,196",2015-01-05
570,747,2015-01-06
550,149,2015-01-07
560,656,2015-01-09
570,"1,415",2015-01-12
570,885,2015-01-13
570,"1,047",2015-01-15
570,"2,650",2015-01-20
580,"20,266",2015-01-23
550,"47,245",2015-01-29
550,10,2015-01-30
520,"1,236",2015-02-02
530,596,2015-02-03
530,"1,046",2015-02-05
530,904,2015-02-10
525,149,2015-02-11
550,"2,194",2015-02-12
530,153,2015-02-13
520,2,2015-02-16
526,149,2015-02-17
520,38,2015-02-25
520,"1,456",2015-02-27
530,448,2015-03-02
520,"1,345",2015-03-03
520,"5,160",2015-03-04
520,897,2015-03-06
530,905,2015-03-09
520,5,2015-03-12
520,481,2015-03-13
520,597,2015-03-16
520,"8,418",2015-03-17
520,"1,284",2015-03-18
520,896,2015-03-20
530,10,2015-03-23
520,448,2015-03-24
520,448,2015-03-25
520,"1,977",2015-03-30
520,149,2015-03-31
520,447,2015-04-02
520,299,2015-04-03
520,"1,247",2015-04-06
520,540,2015-04-07
520,"1,597",2015-04-09
520,154,2015-04-10
520,"1,841",2015-04-13
520,895,2015-04-14
500,100,2015-04-15
520,"1,433",2015-04-16
520,"1,049",2015-04-17
500,49,2015-04-20
500,447,2015-04-21
500,159,2015-04-22
500,897,2015-04-23
520,448,2015-04-27
480,"1,000",2015-04-28
500,500,2015-04-29
500,5,2015-05-01
500,"2,509",2015-05-04
490,"2,089",2015-05-05
515,113,2015-05-06
510,114,2015-05-08
500,"1,344",2015-05-12
500,"5,648",2015-05-15
453,216,2015-05-20
453,35,2015-05-21
470,"1,346",2015-05-25
460,457,2015-05-26
470,"1,185",2015-05-27
465,149,2015-05-28
465,299,2015-06-03
499,8,2015-06-04
475,596,2015-06-05
500,"2,745",2015-06-09
510,800,2015-06-10
510,347,2015-06-11
500,200,2015-06-12
530,"2,500",2015-06-15
545,"4,956",2015-06-16
520,"1,006",2015-06-17
500,228,2015-06-19
510,10,2015-06-22
500,"5,327",2015-06-23
490,599,2015-06-29
490,449,2015-06-30
490,299,2015-07-01
500,500,2015-07-02
491,7,2015-07-03
491,269,2015-07-06
509,149,2015-07-07
515,"12,040",2015-07-10
540,"3,126",2015-07-16
530,998,2015-07-17
550,"3,020",2015-07-20
540,"1,359",2015-07-21
526,"10,586",2015-07-22
520,"16,981",2015-07-23
490,"4,391",2015-07-24
480,149,2015-07-31
480,149,2015-08-03
481,149,2015-08-04
510,211,2015-08-05
510,107,2015-08-06
481,149,2015-08-13
481,145,2015-08-14
481,298,2015-08-20
481,599,2015-08-25
480,149,2015-08-31
500,10,2015-09-01
480,149,2015-09-07
499,338,2015-09-10
500,30,2015-09-14
570,446,2015-09-15
500,133,2015-09-16
510,601,2015-09-18
560,89,2015-09-24
530,196,2015-10-06
530,20,2015-10-07
600,519,2015-10-08
675,300,2015-10-09
770,"2,199",2015-10-12
885,"4,499",2015-10-13
885,219,2015-10-14
745,305,2015-10-15
670,"2,219",2015-10-16
669,"9,938",2015-10-19
650,"1,831,819",2015-10-20
598,"3,328",2015-10-21
685,"1,007",2015-10-22
680,5,2015-10-23
610,442,2015-10-27
610,217,2015-10-28
610,75,2015-10-29
611,"754,017",2015-10-29
669,"1,376",2015-10-30
700,"1,596",2015-11-02
700,44,2015-11-03
700,10,2015-11-04
660,1,2015-11-05
650,149,2015-11-06
610,58,2015-11-09
598,266,2015-11-10
598,149,2015-11-11
